School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
BELLINGHAM SCHOOL DISTRICT,2014-15,917,77.6%,4.9%,9.5%,8.0%,2.2%,6.2%,0.1%,0.0%,88.2%,87.9%,88.9%,86.6%,87.8%,85.4%,712,45,87,73,20,57,1,0,108,111,102,123,112,134
BENGE SCHOOL DISTRICT,2014-15,2,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,100.0%,50.0%,50.0%,50.0%,1,1,0,0,0,0,0,0,1,1,0,1,1,1
BETHEL SCHOOL DISTRICT,2014-15,1469,87.3%,1.8%,8.0%,2.9%,1.1%,1.7%,0.1%,0.1%,92.6%,92.3%,93.5%,92.0%,95.6%,91.9%,1282,26,118,43,16,25,2,1,108,113,95,118,64,119
BICKLETON SCHOOL DISTRICT,2014-15,6,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BLAINE SCHOOL DISTRICT,2014-15,158,86.7%,3.2%,6.3%,3.8%,0.6%,3.2%,0.0%,0.0%,89.2%,88.6%,92.4%,89.9%,93.7%,89.2%,137,5,10,6,1,5,0,0,17,18,12,16,10,17
BOISTFORT SCHOOL DISTRICT,2014-15,15,93.3%,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,93.3%,93.3%,100.0%,100.0%,100.0%,100.0%,14,1,0,0,0,0,0,0,1,1,0,0,0,0
BREMERTON SCHOOL DISTRICT,2014-15,479,68.3%,2.1%,29.0%,0.6%,0.0%,0.6%,0.0%,0.0%,78.7%,78.7%,81.6%,77.5%,87.7%,78.1%,327,10,139,3,0,3,0,0,102,102,88,108,59,105
BREWSTER SCHOOL DISTRICT,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRIDGEPORT SCHOOL DISTRICT,2014-15,72,61.1%,0.0%,38.9%,0.0%,12.5%,0.0%,0.0%,0.0%,69.4%,69.4%,72.2%,69.4%,94.4%,72.2%,44,0,28,0,9,0,0,0,22,22,20,22,4,20
BRINNON SCHOOL DISTRICT,2014-15,3,33.3%,0.0%,66.7%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,66.7%,66.7%,66.7%,66.7%,1,0,2,0,0,0,0,0,2,2,1,1,1,1
BURLINGTON-EDISON SCHOOL DISTRICT,2014-15,276,87.7%,2.5%,5.1%,4.7%,1.8%,3.3%,0.0%,0.0%,93.1%,93.1%,93.5%,92.4%,92.0%,92.0%,242,7,14,13,5,9,0,0,19,19,18,21,22,22
CAMAS SCHOOL DISTRICT,2014-15,441,88.9%,1.4%,0.2%,9.5%,1.8%,5.4%,2.0%,0.7%,93.0%,93.2%,93.9%,92.3%,93.0%,92.3%,392,6,1,42,8,24,9,3,31,30,27,34,31,34
CAPE FLATTERY SCHOOL DISTRICT,2014-15,30,86.7%,0.0%,10.0%,3.3%,3.3%,3.3%,0.0%,0.0%,90.0%,90.0%,96.7%,90.0%,96.7%,96.7%,26,0,3,1,1,1,0,0,3,3,1,3,1,1
CARBONADO SCHOOL DISTRICT,2014-15,17,94.1%,0.0%,0.0%,5.9%,5.9%,0.0%,0.0%,0.0%,100.0%,100.0%,94.1%,100.0%,100.0%,100.0%,16,0,0,1,1,0,0,0,0,0,1,0,0,0
CASCADE SCHOOL DISTRICT,2014-15,100,89.0%,2.0%,0.0%,9.0%,0.0%,9.0%,0.0%,0.0%,91.0%,91.0%,90.0%,91.0%,90.0%,89.0%,89,2,0,9,0,9,0,0,9,9,10,9,10,11
CASHMERE SCHOOL DISTRICT,2014-15,125,96.8%,0.8%,0.0%,2.4%,0.0%,2.4%,0.0%,0.0%,98.4%,98.4%,100.0%,97.6%,97.6%,100.0%,121,1,0,3,0,3,0,0,2,2,0,3,3,0
CASTLE ROCK SCHOOL DISTRICT,2014-15,99,76.8%,3.0%,14.1%,6.1%,1.0%,5.1%,0.0%,0.0%,76.8%,76.8%,78.8%,71.7%,87.9%,78.8%,76,3,14,6,1,5,0,0,23,23,21,28,12,21
CENTERVILLE SCHOOL DISTRICT,2014-15,11,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRAL KITSAP SCHOOL DISTRICT,2014-15,822,91.1%,2.2%,4.3%,2.4%,1.0%,1.0%,0.4%,0.1%,96.2%,96.1%,95.6%,95.3%,97.1%,94.8%,749,18,35,20,8,8,3,1,31,32,36,39,24,43
CENTRAL VALLEY SCHOOL DISTRICT,2014-15,953,81.1%,0.9%,10.4%,7.6%,1.2%,5.6%,0.4%,0.7%,86.3%,86.3%,87.0%,88.1%,90.7%,85.3%,773,9,99,72,11,53,4,7,131,131,124,113,89,140
CENTRALIA SCHOOL DISTRICT,2014-15,339,91.4%,2.7%,4.7%,1.2%,0.6%,1.2%,0.0%,0.0%,93.8%,93.8%,95.3%,93.8%,96.5%,94.1%,310,9,16,4,2,4,0,0,21,21,16,21,12,20
CHEHALIS SCHOOL DISTRICT,2014-15,213,88.7%,0.9%,4.2%,6.1%,2.8%,3.3%,0.0%,0.0%,93.4%,93.4%,93.4%,93.4%,93.4%,91.1%,189,2,9,13,6,7,0,0,14,14,14,14,14,19
CHENEY SCHOOL DISTRICT,2014-15,363,64.2%,1.9%,28.1%,5.8%,2.2%,3.6%,0.3%,0.0%,71.6%,71.6%,71.1%,69.7%,84.0%,69.7%,233,7,102,21,8,13,1,0,103,103,105,110,58,110
CHEWELAH SCHOOL DISTRICT,2014-15,49,73.5%,4.1%,4.1%,18.4%,4.1%,14.3%,0.0%,0.0%,91.8%,91.8%,87.8%,91.8%,89.8%,77.6%,36,2,2,9,2,7,0,0,4,4,6,4,5,11
CHIMACUM SCHOOL DISTRICT,2014-15,89,82.0%,3.4%,4.5%,10.1%,1.1%,5.6%,1.1%,2.2%,89.9%,88.8%,88.8%,91.0%,88.8%,87.6%,73,3,4,9,1,5,1,2,9,10,10,8,10,11
CLARKSTON SCHOOL DISTRICT,2014-15,215,76.7%,3.7%,16.3%,3.3%,0.5%,2.3%,0.5%,0.0%,86.5%,86.0%,85.6%,87.4%,94.0%,82.3%,165,8,35,7,1,5,1,0,29,30,31,27,13,38
CLE ELUM-ROSLYN SCHOOL DISTRICT,2014-15,63,82.5%,1.6%,6.3%,9.5%,1.6%,7.9%,0.0%,0.0%,90.5%,90.5%,92.1%,85.7%,95.2%,90.5%,52,1,4,6,1,5,0,0,6,6,5,9,3,6
CLOVER PARK SCHOOL DISTRICT,2014-15,1331,89.5%,2.3%,6.9%,1.4%,0.5%,0.5%,0.2%,0.2%,93.3%,93.3%,94.5%,93.6%,95.5%,93.2%,1191,30,92,18,7,6,2,3,89,89,73,85,60,90
COLFAX SCHOOL DISTRICT,2014-15,79,96.2%,1.3%,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,98.7%,100.0%,97.5%,76,1,2,0,0,0,0,0,0,0,0,1,0,2
COLLEGE PLACE SCHOOL DISTRICT,2014-15,137,78.8%,1.5%,15.3%,4.4%,0.0%,3.6%,0.7%,0.0%,83.2%,83.2%,85.4%,84.7%,81.8%,85.4%,108,2,21,6,0,5,1,0,23,23,20,21,25,20
COLTON SCHOOL DISTRICT,2014-15,16,87.5%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,87.5%,87.5%,87.5%,87.5%,87.5%,87.5%,14,0,0,2,0,2,0,0,2,2,2,2,2,2
COLUMBIA (STEVENS) SCHOOL DISTRICT,2014-15,10,90.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,90.0%,90.0%,9,1,0,0,0,0,0,0,0,0,0,0,1,1
COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,2014-15,67,92.5%,3.0%,0.0%,4.5%,1.5%,1.5%,1.5%,0.0%,95.5%,92.5%,97.0%,97.0%,95.5%,97.0%,62,2,0,3,1,1,1,0,3,5,2,2,3,2
COLVILLE SCHOOL DISTRICT,2014-15,127,75.6%,5.5%,8.7%,10.2%,7.9%,1.6%,0.0%,0.8%,90.6%,90.6%,89.8%,89.8%,92.1%,90.6%,96,7,11,13,10,2,0,1,12,12,13,13,10,12
CONCRETE SCHOOL DISTRICT,2014-15,41,87.8%,0.0%,0.0%,12.2%,4.9%,4.9%,0.0%,2.4%,90.2%,90.2%,90.2%,90.2%,90.2%,90.2%,36,0,0,5,2,2,0,1,4,4,4,4,4,4
CONWAY SCHOOL DISTRICT,2014-15,47,91.5%,0.0%,0.0%,8.5%,0.0%,8.5%,0.0%,0.0%,95.7%,95.7%,95.7%,95.7%,93.6%,95.7%,43,0,0,4,0,4,0,0,2,2,2,2,3,2
COSMOPOLIS SCHOOL DISTRICT,2014-15,23,82.6%,0.0%,8.7%,8.7%,4.3%,4.3%,0.0%,0.0%,82.6%,82.6%,87.0%,82.6%,91.3%,82.6%,19,0,2,2,1,1,0,0,4,4,3,4,2,4
COULEE-HARTLINE SCHOOL DISTRICT,2014-15,14,64.3%,0.0%,28.6%,7.1%,7.1%,0.0%,0.0%,0.0%,64.3%,64.3%,71.4%,64.3%,85.7%,71.4%,9,0,4,1,1,0,0,0,5,5,4,5,2,4
COUPEVILLE SCHOOL DISTRICT,2014-15,48,83.3%,2.1%,10.4%,4.2%,0.0%,2.1%,2.1%,0.0%,93.8%,93.8%,93.8%,89.6%,91.7%,93.8%,40,1,5,2,0,1,1,0,3,3,3,5,4,3
CRESCENT SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRESTON SCHOOL DISTRICT,2014-15,8,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,8,0,0,0,0,0,0,0,0,0,0,0,0,0
CURLEW SCHOOL DISTRICT,2014-15,9,33.3%,11.1%,55.6%,0.0%,0.0%,0.0%,0.0%,0.0%,55.6%,55.6%,55.6%,44.4%,77.8%,44.4%,3,1,5,0,0,0,0,0,4,4,4,5,2,5
CUSICK SCHOOL DISTRICT,2014-15,18,66.7%,11.1%,11.1%,11.1%,5.6%,0.0%,0.0%,5.6%,66.7%,66.7%,72.2%,66.7%,83.3%,72.2%,12,2,2,2,1,0,0,1,6,6,5,6,3,5
DAMMAN SCHOOL DISTRICT,2014-15,7,57.1%,0.0%,42.9%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,57.1%,57.1%,57.1%,57.1%,57.1%,4,0,3,0,0,0,0,0,3,3,3,3,3,3
DARRINGTON SCHOOL DISTRICT,2014-15,29,86.2%,0.0%,3.4%,10.3%,0.0%,10.3%,3.4%,0.0%,89.7%,89.7%,89.7%,89.7%,93.1%,89.7%,25,0,1,3,0,3,1,0,3,3,3,3,2,3
DAVENPORT SCHOOL DISTRICT,2014-15,98,49.0%,0.0%,46.9%,4.1%,0.0%,4.1%,0.0%,0.0%,61.2%,61.2%,63.3%,55.1%,85.7%,63.3%,48,0,46,4,0,4,0,0,38,38,36,44,14,36
DAYTON SCHOOL DISTRICT,2014-15,36,66.7%,0.0%,27.8%,5.6%,5.6%,0.0%,0.0%,0.0%,75.0%,75.0%,83.3%,75.0%,80.6%,77.8%,24,0,10,2,2,0,0,0,9,9,6,9,7,8
DEER PARK SCHOOL DISTRICT,2014-15,157,69.4%,4.5%,9.6%,16.6%,3.2%,13.4%,0.0%,0.0%,77.7%,77.7%,75.8%,77.7%,78.3%,72.6%,109,7,15,26,5,21,0,0,35,35,38,35,34,43
DIERINGER SCHOOL DISTRICT,2014-15,157,87.3%,3.2%,0.6%,8.9%,0.6%,7.6%,0.0%,0.6%,94.9%,94.9%,93.6%,93.6%,91.1%,92.4%,137,5,1,14,1,12,0,1,8,8,10,10,14,12
DIXIE SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST VALLEY SCHOOL DISTRICT (SPOKANE),2014-15,338,80.8%,1.5%,10.1%,7.7%,2.1%,5.9%,0.0%,0.0%,87.3%,87.3%,85.8%,86.4%,89.6%,84.6%,273,5,34,26,7,20,0,0,43,43,48,46,35,52
EAST VALLEY SCHOOL DISTRICT (YAKIMA),2014-15,273,86.1%,0.7%,12.1%,1.1%,0.4%,0.7%,0.0%,0.0%,90.5%,90.5%,91.9%,90.1%,93.0%,92.3%,235,2,33,3,1,2,0,0,26,26,22,27,19,21
EASTMONT SCHOOL DISTRICT,2014-15,420,96.4%,1.0%,1.4%,1.2%,0.0%,1.2%,0.0%,0.0%,97.4%,97.4%,98.1%,97.6%,98.3%,97.4%,405,4,6,5,0,5,0,0,11,11,8,10,7,11
EASTON SCHOOL DISTRICT,2014-15,8,75.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,87.5%,75.0%,75.0%,100.0%,75.0%,6,1,1,0,0,0,0,0,2,1,2,2,0,2
EATONVILLE SCHOOL DISTRICT,2014-15,126,83.3%,3.2%,8.7%,4.8%,2.4%,1.6%,0.8%,0.0%,87.3%,87.3%,88.9%,88.9%,92.1%,88.1%,105,4,11,6,3,2,1,0,16,16,14,14,10,15
EDMONDS SCHOOL DISTRICT,2014-15,1694,89.0%,1.6%,4.5%,4.9%,1.6%,3.2%,0.2%,0.1%,92.9%,92.9%,93.1%,92.6%,94.6%,91.7%,1507,27,77,83,27,54,4,1,120,120,117,125,92,141
ELLENSBURG SCHOOL DISTRICT,2014-15,275,66.2%,0.4%,28.7%,4.7%,1.8%,2.5%,0.4%,0.0%,81.8%,81.1%,82.2%,79.6%,85.1%,76.7%,182,1,79,13,5,7,1,0,50,52,49,56,41,64
ELMA SCHOOL DISTRICT,2014-15,104,92.3%,0.0%,0.0%,7.7%,5.8%,1.9%,0.0%,0.0%,96.2%,96.2%,96.2%,95.2%,98.1%,93.3%,96,0,0,8,6,2,0,0,4,4,4,5,2,7
ENDICOTT SCHOOL DISTRICT,2014-15,9,77.8%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,77.8%,77.8%,77.8%,100.0%,77.8%,7,0,2,0,0,0,0,0,2,2,2,2,0,2
ENTIAT SCHOOL DISTRICT,2014-15,31,93.5%,0.0%,3.2%,3.2%,0.0%,3.2%,0.0%,0.0%,96.8%,96.8%,93.5%,93.5%,93.5%,93.5%,29,0,1,1,0,1,0,0,1,1,2,2,2,2
ENUMCLAW SCHOOL DISTRICT,2014-15,341,84.2%,1.2%,9.4%,5.3%,0.3%,4.7%,0.0%,0.3%,89.4%,89.4%,90.6%,89.1%,92.4%,89.7%,287,4,32,18,1,16,0,1,36,36,32,37,26,35
EPHRATA SCHOOL DISTRICT,2014-15,104,80.8%,1.9%,16.3%,1.0%,0.0%,0.0%,0.0%,1.0%,84.6%,84.6%,83.7%,83.7%,88.5%,85.6%,84,2,17,1,0,0,0,1,16,16,17,17,12,15
EVALINE SCHOOL DISTRICT,2014-15,5,80.0%,0.0%,0.0%,20.0%,0.0%,0.0%,20.0%,0.0%,80.0%,80.0%,80.0%,80.0%,80.0%,80.0%,4,0,0,1,0,0,1,0,1,1,1,1,1,1
EVERETT SCHOOL DISTRICT,2014-15,1662,87.2%,2.6%,5.4%,4.9%,1.2%,4.0%,0.2%,0.0%,91.2%,91.2%,92.7%,91.7%,94.6%,91.9%,1449,43,89,81,20,67,3,0,147,147,121,138,90,135
EVERGREEN SCHOOL DISTRICT (CLARK),2014-15,1864,68.5%,1.6%,24.8%,5.2%,0.6%,3.9%,0.2%,0.4%,77.9%,77.8%,80.5%,76.0%,84.1%,78.1%,1276,30,462,96,12,73,3,8,412,413,363,447,297,408
EVERGREEN SCHOOL DISTRICT (STEVENS),2014-15,4,75.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,25.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,3,0,0,1,0,0,0,1,1,1,1,1,1,1
FEDERAL WAY SCHOOL DISTRICT,2014-15,1790,83.8%,2.1%,9.3%,4.8%,1.6%,3.1%,0.1%,0.1%,89.3%,89.6%,91.2%,90.7%,91.7%,90.2%,1500,37,167,86,29,55,1,2,191,187,158,166,149,176
FERNDALE SCHOOL DISTRICT,2014-15,418,87.6%,1.7%,6.0%,4.8%,0.7%,4.1%,0.0%,0.0%,93.5%,93.5%,93.3%,93.3%,93.3%,91.1%,366,7,25,20,3,17,0,0,27,27,28,28,28,37
FIFE SCHOOL DISTRICT,2014-15,299,94.3%,1.3%,1.7%,2.7%,2.3%,0.3%,0.0%,0.0%,98.0%,98.0%,98.3%,97.3%,97.3%,98.3%,282,4,5,8,7,1,0,0,6,6,5,8,8,5
FINLEY SCHOOL DISTRICT,2014-15,68,83.8%,2.9%,10.3%,2.9%,0.0%,2.9%,0.0%,0.0%,85.3%,85.3%,88.2%,88.2%,91.2%,88.2%,57,2,7,2,0,2,0,0,10,10,8,8,6,8
FRANKLIN PIERCE SCHOOL DISTRICT,2014-15,640,95.2%,3.1%,0.0%,1.7%,0.0%,1.6%,0.2%,0.0%,96.9%,96.9%,96.4%,97.7%,98.1%,96.6%,609,20,0,11,0,10,1,0,20,20,23,15,12,22
FREEMAN SCHOOL DISTRICT,2014-15,56,83.9%,1.8%,0.0%,14.3%,8.9%,5.4%,0.0%,0.0%,94.6%,94.6%,91.1%,96.4%,94.6%,85.7%,47,1,0,8,5,3,0,0,3,3,5,2,3,8
GARFIELD SCHOOL DISTRICT,2014-15,9,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,9,0,0,0,0,0,0,0,0,0,0,0,0,0
GLENWOOD SCHOOL DISTRICT,2014-15,5,80.0%,0.0%,0.0%,20.0%,20.0%,0.0%,0.0%,0.0%,80.0%,80.0%,80.0%,80.0%,100.0%,80.0%,4,0,0,1,1,0,0,0,1,1,1,1,0,1
GOLDENDALE SCHOOL DISTRICT,2014-15,67,91.0%,4.5%,0.0%,4.5%,3.0%,0.0%,1.5%,0.0%,92.5%,92.5%,95.5%,94.0%,95.5%,95.5%,61,3,0,3,2,0,1,0,5,5,3,4,3,3
GRAND COULEE DAM SCHOOL DISTRICT,2014-15,50,76.0%,2.0%,22.0%,0.0%,0.0%,0.0%,0.0%,0.0%,78.0%,78.0%,80.0%,80.0%,94.0%,82.0%,38,1,11,0,0,0,0,0,11,11,10,10,3,9
GRANDVIEW SCHOOL DISTRICT,2014-15,97,99.0%,0.0%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,99.0%,99.0%,100.0%,100.0%,100.0%,100.0%,96,0,1,0,0,0,0,0,1,1,0,0,0,0
GRANGER SCHOOL DISTRICT,2014-15,120,97.5%,0.0%,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%,97.5%,97.5%,99.2%,98.3%,99.2%,99.2%,117,0,3,0,0,0,0,0,3,3,1,2,1,1
GRANITE FALLS SCHOOL DISTRICT,2014-15,133,77.4%,3.8%,14.3%,4.5%,0.8%,3.8%,0.0%,0.0%,82.7%,82.7%,84.2%,82.7%,89.5%,82.7%,103,5,19,6,1,5,0,0,23,23,21,23,14,23
GRAPEVIEW SCHOOL DISTRICT,2014-15,27,85.2%,3.7%,7.4%,3.7%,0.0%,3.7%,0.0%,0.0%,96.3%,96.3%,96.3%,96.3%,88.9%,92.6%,23,1,2,1,0,1,0,0,1,1,1,1,3,2
GREAT NORTHERN SCHOOL DISTRICT,2014-15,3,66.7%,0.0%,0.0%,33.3%,0.0%,33.3%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,2,0,0,1,0,1,0,0,1,1,1,1,1,1
GREEN MOUNTAIN SCHOOL DISTRICT,2014-15,14,28.6%,7.1%,64.3%,0.0%,0.0%,0.0%,0.0%,0.0%,78.6%,78.6%,64.3%,71.4%,85.7%,50.0%,4,1,9,0,0,0,0,0,3,3,5,4,2,7
GRIFFIN SCHOOL DISTRICT,2014-15,57,64.9%,0.0%,28.1%,7.0%,1.8%,5.3%,0.0%,0.0%,86.0%,86.0%,78.9%,73.7%,87.7%,80.7%,37,0,16,4,1,3,0,0,8,8,12,15,7,11
HARRINGTON SCHOOL DISTRICT,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGHLAND SCHOOL DISTRICT,2014-15,82,90.2%,0.0%,8.5%,1.2%,0.0%,0.0%,1.2%,0.0%,95.1%,95.1%,93.9%,95.1%,93.9%,95.1%,74,0,7,1,0,0,1,0,4,4,5,4,5,4
HIGHLINE SCHOOL DISTRICT,2014-15,1424,89.5%,2.5%,6.6%,1.5%,0.3%,1.1%,0.1%,0.0%,95.1%,95.9%,94.2%,95.8%,96.2%,93.2%,1274,35,94,21,4,15,2,0,70,58,83,60,54,97
HOCKINSON SCHOOL DISTRICT,2014-15,128,61.7%,2.3%,25.8%,10.2%,0.0%,10.2%,0.0%,0.0%,82.0%,82.0%,85.9%,80.5%,84.4%,75.8%,79,3,33,13,0,13,0,0,23,23,18,25,20,31
HOOD CANAL SCHOOL DISTRICT,2014-15,37,40.5%,0.0%,59.5%,0.0%,0.0%,0.0%,0.0%,0.0%,43.2%,43.2%,45.9%,40.5%,70.3%,43.2%,15,0,22,0,0,0,0,0,21,21,20,22,11,21
HOQUIAM SCHOOL DISTRICT,2014-15,123,17.1%,0.0%,82.1%,0.8%,0.8%,0.0%,0.0%,0.0%,18.7%,18.7%,20.3%,18.7%,33.3%,21.1%,21,0,101,1,1,0,0,0,100,100,98,100,82,97
INCHELIUM SCHOOL DISTRICT,2014-15,16,75.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,81.3%,81.3%,81.3%,81.3%,87.5%,81.3%,12,0,4,0,0,0,0,0,3,3,3,3,2,3
INDEX SCHOOL DISTRICT,2014-15,10,30.0%,0.0%,60.0%,10.0%,0.0%,10.0%,0.0%,0.0%,80.0%,80.0%,70.0%,40.0%,80.0%,70.0%,3,0,6,1,0,1,0,0,2,2,3,6,2,3
ISSAQUAH SCHOOL DISTRICT,2014-15,1465,93.3%,1.4%,0.5%,4.8%,1.6%,3.1%,0.1%,0.1%,96.7%,96.6%,96.2%,96.3%,95.6%,95.2%,1367,20,8,70,24,45,1,1,49,50,55,54,64,70
KAHLOTUS SCHOOL DISTRICT,2014-15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KALAMA SCHOOL DISTRICT,2014-15,60,93.3%,0.0%,5.0%,1.7%,1.7%,0.0%,0.0%,0.0%,93.3%,93.3%,93.3%,93.3%,95.0%,93.3%,56,0,3,1,1,0,0,0,4,4,4,4,3,4
KELLER SCHOOL DISTRICT,2014-15,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KELSO SCHOOL DISTRICT,2014-15,367,94.8%,1.9%,0.0%,3.3%,1.4%,1.6%,0.0%,0.3%,96.2%,96.2%,96.7%,96.7%,97.3%,96.5%,348,7,0,12,5,6,0,1,14,14,12,12,10,13
