County,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella
SAN JUAN,2013-14,122,41.8%,4.1%,41.0%,13.1%,7.4%,5.7%,0.8%,0.0%,55.7%,55.7%,51.6%,50.8%,53.3%,50.8%,51,5,50,16,9,7,1,0,54,54,59,60,57,60
SKAGIT,2013-14,1419,83.4%,2.9%,7.4%,6.3%,2.0%,3.6%,0.4%,0.5%,91.8%,91.7%,91.7%,90.6%,91.1%,90.0%,1183,41,105,90,28,51,6,7,116,118,118,134,127,142
SKAMANIA,2013-14,79,67.1%,1.3%,29.1%,2.5%,0.0%,2.5%,0.0%,0.0%,78.5%,78.5%,78.5%,75.9%,84.8%,74.7%,53,1,23,2,0,2,0,0,17,17,17,19,12,20
SNOHOMISH,2013-14,8327,85.6%,1.8%,7.3%,5.3%,1.6%,3.4%,0.2%,0.1%,90.9%,91.9%,90.4%,90.3%,92.9%,89.3%,7128,151,604,444,132,286,20,11,757,678,802,810,595,891
SPOKANE,2013-14,5890,73.2%,1.4%,18.8%,6.7%,1.2%,5.0%,0.3%,0.2%,82.0%,82.1%,82.9%,82.4%,88.0%,80.5%,4309,80,1106,395,71,293,19,10,1059,1057,1007,1035,704,1147
STEVENS,2013-14,354,74.9%,1.7%,14.7%,8.8%,1.4%,6.5%,0.3%,0.6%,89.8%,89.8%,91.0%,91.0%,91.8%,90.1%,265,6,52,31,5,23,1,2,36,36,32,32,29,35
THURSTON,2013-14,2974,68.9%,1.5%,25.1%,4.5%,1.5%,2.6%,0.4%,0.1%,79.3%,79.2%,80.9%,77.2%,83.4%,78.8%,2050,44,746,134,45,76,11,2,616,618,567,679,493,630
WAHKIAKUM,2013-14,30,90.0%,0.0%,0.0%,10.0%,0.0%,3.3%,6.7%,0.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,27,0,0,3,0,1,2,0,3,3,3,3,3,3
WALLA WALLA,2013-14,535,84.1%,0.6%,12.3%,3.0%,1.5%,1.5%,0.0%,0.0%,92.0%,92.1%,92.5%,90.7%,93.8%,89.5%,450,3,66,16,8,8,0,0,43,42,40,50,33,56
WHATCOM,2013-14,2233,79.5%,2.8%,9.9%,7.8%,1.9%,5.6%,0.2%,0.1%,88.4%,88.4%,87.9%,87.5%,87.6%,86.1%,1775,62,222,174,43,125,5,2,258,259,271,280,276,311
WHITMAN,2013-14,424,81.6%,1.2%,12.7%,4.5%,0.0%,4.2%,0.0%,0.2%,91.3%,91.3%,90.8%,88.4%,90.6%,88.7%,346,5,54,19,0,18,0,1,37,37,39,49,40,48
YAKIMA,2013-14,4219,87.8%,0.8%,10.6%,0.8%,0.2%,0.5%,0.0%,0.0%,92.3%,92.3%,93.2%,92.2%,94.9%,92.2%,3703,34,448,34,10,22,1,1,324,323,286,331,217,331
