School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella
BENGE SCHOOL DISTRICT,2016-17,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BETHEL SCHOOL DISTRICT,2016-17,"1,499",87.4%,1.4%,8.5%,2.7%,1.1%,1.4%,0.2%,0.0%,91.3%,91.2%,91.9%,91.3%,95.3%,90.6%,"1,310",21,128,40,17,21,3,0,131,132,122,130,70,141
BICKLETON SCHOOL DISTRICT,2016-17,5,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BLAINE SCHOOL DISTRICT,2016-17,149,83.9%,3.4%,4.7%,8.1%,0.7%,7.4%,0.0%,0.0%,87.9%,87.9%,89.3%,88.6%,91.3%,87.2%,125,5,7,12,1,11,0,0,18,18,16,17,13,19
BOISTFORT SCHOOL DISTRICT,2016-17,14,92.9%,0.0%,0.0%,7.1%,7.1%,0.0%,0.0%,0.0%,100.0%,100.0%,92.9%,100.0%,100.0%,92.9%,13,0,0,1,1,0,0,0,0,0,1,0,0,1
BREMERTON SCHOOL DISTRICT,2016-17,473,80.3%,1.9%,15.4%,2.3%,0.8%,1.7%,0.0%,0.0%,88.4%,88.4%,88.8%,88.4%,92.6%,87.3%,380,9,73,11,4,8,0,0,55,55,53,55,35,60
BREWSTER SCHOOL DISTRICT,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRIDGEPORT SCHOOL DISTRICT,2016-17,64,56.3%,0.0%,43.8%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,62.5%,64.1%,65.6%,85.9%,67.2%,36,0,28,0,0,0,0,0,24,24,23,22,9,21
BRINNON SCHOOL DISTRICT,2016-17,5,80.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,80.0%,100.0%,100.0%,80.0%,4,0,1,0,0,0,0,0,0,0,1,0,0,1
BURLINGTON-EDISON SCHOOL DISTRICT,2016-17,269,78.4%,1.9%,16.4%,3.3%,1.1%,2.2%,0.0%,0.0%,86.6%,87.4%,85.9%,84.4%,88.8%,87.0%,211,5,44,9,3,6,0,0,36,34,38,42,30,35
CAMAS SCHOOL DISTRICT,2016-17,415,84.3%,4.8%,0.7%,10.1%,1.7%,6.7%,1.7%,0.2%,89.4%,91.3%,89.2%,88.9%,89.6%,89.2%,350,20,3,42,7,28,7,1,44,36,45,46,43,45
CAPE FLATTERY SCHOOL DISTRICT,2016-17,52,88.5%,3.8%,0.0%,7.7%,0.0%,7.7%,0.0%,0.0%,92.3%,92.3%,94.2%,94.2%,94.2%,90.4%,46,2,0,4,0,4,0,0,4,4,3,3,3,5
CARBONADO SCHOOL DISTRICT,2016-17,22,95.5%,0.0%,0.0%,4.5%,0.0%,4.5%,0.0%,0.0%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,21,0,0,1,0,1,0,0,1,1,1,1,1,1
CASCADE SCHOOL DISTRICT,2016-17,81,88.9%,3.7%,0.0%,7.4%,1.2%,6.2%,0.0%,0.0%,93.8%,95.1%,93.8%,95.1%,93.8%,93.8%,72,3,0,6,1,5,0,0,5,4,5,4,5,5
CASHMERE SCHOOL DISTRICT,2016-17,128,96.9%,0.0%,0.8%,2.3%,0.0%,2.3%,0.0%,0.0%,98.4%,98.4%,100.0%,97.7%,96.9%,100.0%,124,0,1,3,0,3,0,0,2,2,0,3,4,0
CASTLE ROCK SCHOOL DISTRICT,2016-17,96,93.8%,1.0%,1.0%,4.2%,1.0%,2.1%,1.0%,0.0%,96.9%,96.9%,96.9%,96.9%,97.9%,94.8%,90,1,1,4,1,2,1,0,3,3,3,3,2,5
CENTERVILLE SCHOOL DISTRICT,2016-17,13,76.9%,0.0%,7.7%,15.4%,0.0%,7.7%,7.7%,0.0%,84.6%,84.6%,84.6%,84.6%,76.9%,84.6%,10,0,1,2,0,1,1,0,2,2,2,2,3,2
CENTRAL KITSAP SCHOOL DISTRICT,2016-17,842,90.1%,0.8%,6.8%,2.3%,0.8%,1.3%,0.1%,0.0%,92.8%,92.8%,93.5%,93.0%,94.8%,92.6%,759,7,57,19,7,11,1,0,61,61,55,59,44,62
CENTRAL VALLEY SCHOOL DISTRICT,2016-17,"1,087",82.1%,2.3%,7.4%,8.3%,0.9%,7.0%,0.6%,0.3%,86.3%,86.8%,87.4%,86.8%,89.7%,85.4%,892,25,80,90,10,76,6,3,149,144,137,143,112,159
CENTRALIA SCHOOL DISTRICT,2016-17,305,85.6%,3.9%,5.6%,4.9%,0.7%,4.6%,0.3%,0.0%,89.2%,89.2%,90.5%,89.8%,93.1%,89.5%,261,12,17,15,2,14,1,0,33,33,29,31,21,32
CHEHALIS SCHOOL DISTRICT,2016-17,237,92.0%,2.1%,2.5%,3.4%,0.0%,2.5%,0.4%,0.4%,96.2%,96.2%,95.4%,95.8%,95.4%,94.1%,218,5,6,8,0,6,1,1,9,9,11,10,11,14
CHENEY SCHOOL DISTRICT,2016-17,373,78.3%,0.5%,15.3%,5.9%,0.3%,5.6%,0.0%,0.0%,84.2%,84.2%,83.9%,83.1%,90.3%,81.0%,292,2,57,22,1,21,0,0,59,59,60,63,36,71
CHEWELAH SCHOOL DISTRICT,2016-17,47,78.7%,8.5%,0.0%,12.8%,4.3%,10.6%,0.0%,0.0%,83.0%,83.0%,85.1%,89.4%,87.2%,83.0%,37,4,0,6,2,5,0,0,8,8,7,5,6,8
CHIMACUM SCHOOL DISTRICT,2016-17,109,70.6%,5.5%,2.8%,21.1%,6.4%,14.7%,0.9%,0.0%,78.9%,78.9%,78.9%,77.1%,81.7%,73.4%,77,6,3,23,7,16,1,0,23,23,23,25,20,29
CLARKSTON SCHOOL DISTRICT,2016-17,25,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,25,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE ELUM-ROSLYN SCHOOL DISTRICT,2016-17,69,87.0%,5.8%,0.0%,7.2%,1.4%,5.8%,0.0%,0.0%,89.9%,89.9%,94.2%,95.7%,94.2%,92.8%,60,4,0,5,1,4,0,0,7,7,4,3,4,5
CLOVER PARK SCHOOL DISTRICT,2016-17,"1,313",89.7%,2.6%,6.3%,1.4%,0.6%,0.5%,0.2%,0.0%,92.8%,92.8%,94.1%,92.4%,95.2%,93.2%,"1,178",34,83,18,8,7,3,0,95,95,77,100,63,89
COLFAX SCHOOL DISTRICT,2016-17,74,97.3%,0.0%,2.7%,0.0%,0.0%,0.0%,0.0%,0.0%,97.3%,97.3%,100.0%,97.3%,100.0%,100.0%,72,0,2,0,0,0,0,0,2,2,0,2,0,0
COLLEGE PLACE SCHOOL DISTRICT,2016-17,137,87.6%,3.6%,1.5%,7.3%,1.5%,5.1%,0.7%,0.0%,93.4%,94.2%,92.0%,92.7%,92.7%,89.1%,120,5,2,10,2,7,1,0,9,8,11,10,10,15
COLTON SCHOOL DISTRICT,2016-17,17,88.2%,0.0%,5.9%,5.9%,0.0%,5.9%,0.0%,0.0%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,15,0,1,1,0,1,0,0,2,2,2,2,2,2
COLUMBIA (STEVENS) SCHOOL DISTRICT,2016-17,10,90.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.0%,90.0%,90.0%,90.0%,90.0%,90.0%,9,1,0,0,0,0,0,0,1,1,1,1,1,1
COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,2016-17,62,90.3%,8.1%,0.0%,1.6%,1.6%,0.0%,0.0%,0.0%,93.5%,93.5%,100.0%,96.8%,98.4%,96.8%,56,5,0,1,1,0,0,0,4,4,0,2,1,2
COLVILLE SCHOOL DISTRICT,2016-17,137,66.4%,5.8%,16.8%,10.9%,5.8%,5.1%,0.0%,0.0%,78.8%,78.8%,80.3%,81.0%,87.6%,75.9%,91,8,23,15,8,7,0,0,29,29,27,26,17,33
CONCRETE SCHOOL DISTRICT,2016-17,47,80.9%,4.3%,12.8%,2.1%,0.0%,2.1%,0.0%,0.0%,87.2%,87.2%,87.2%,89.4%,89.4%,87.2%,38,2,6,1,0,1,0,0,6,6,6,5,5,6
CONWAY SCHOOL DISTRICT,2016-17,No Report,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSMOPOLIS SCHOOL DISTRICT,2016-17,20,90.0%,0.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.0%,95.0%,95.0%,95.0%,100.0%,100.0%,18,0,2,0,0,0,0,0,1,1,1,1,0,0
COULEE-HARTLINE SCHOOL DISTRICT,2016-17,11,81.8%,0.0%,18.2%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,81.8%,100.0%,100.0%,9,0,2,0,0,0,0,0,0,0,0,2,0,0
COUPEVILLE SCHOOL DISTRICT,2016-17,62,82.3%,1.6%,11.3%,4.8%,1.6%,3.2%,0.0%,0.0%,91.9%,91.9%,90.3%,91.9%,91.9%,85.5%,51,1,7,3,1,2,0,0,5,5,6,5,5,9
CRESCENT SCHOOL DISTRICT,2016-17,13,69.2%,0.0%,15.4%,15.4%,7.7%,0.0%,7.7%,0.0%,69.2%,69.2%,76.9%,69.2%,76.9%,76.9%,9,0,2,2,1,0,1,0,4,4,3,4,3,3
CRESTON SCHOOL DISTRICT,2016-17,7,85.7%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,100.0%,85.7%,6,1,0,0,0,0,0,0,1,1,1,1,0,1
CURLEW SCHOOL DISTRICT,2016-17,19,73.7%,0.0%,0.0%,26.3%,0.0%,10.5%,15.8%,0.0%,73.7%,73.7%,73.7%,73.7%,73.7%,73.7%,14,0,0,5,0,2,3,0,5,5,5,5,5,5
CUSICK SCHOOL DISTRICT,2016-17,19,73.7%,10.5%,10.5%,5.3%,0.0%,5.3%,0.0%,0.0%,84.2%,84.2%,89.5%,84.2%,89.5%,78.9%,14,2,2,1,0,1,0,0,3,3,2,3,2,4
DAMMAN SCHOOL DISTRICT,2016-17,10,80.0%,0.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,90.0%,90.0%,90.0%,90.0%,100.0%,80.0%,8,0,0,2,0,2,0,0,1,1,1,1,0,2
DARRINGTON SCHOOL DISTRICT,2016-17,34,88.2%,2.9%,2.9%,5.9%,2.9%,2.9%,0.0%,0.0%,94.1%,94.1%,91.2%,94.1%,94.1%,91.2%,30,1,1,2,1,1,0,0,2,2,3,2,2,3
DAVENPORT SCHOOL DISTRICT,2016-17,37,73.0%,2.7%,18.9%,5.4%,0.0%,5.4%,0.0%,0.0%,78.4%,78.4%,86.5%,75.7%,89.2%,83.8%,27,1,7,2,0,2,0,0,8,8,5,9,4,6
DAYTON SCHOOL DISTRICT,2016-17,36,72.2%,5.6%,19.4%,2.8%,0.0%,2.8%,0.0%,0.0%,80.6%,80.6%,80.6%,80.6%,91.7%,80.6%,26,2,7,1,0,1,0,0,7,7,7,7,3,7
DEER PARK SCHOOL DISTRICT,2016-17,144,83.3%,2.1%,5.6%,9.0%,1.4%,7.6%,0.0%,0.0%,93.8%,93.8%,91.7%,93.1%,92.4%,88.2%,120,3,8,13,2,11,0,0,9,9,12,10,11,17
DIERINGER SCHOOL DISTRICT,2016-17,92,85.9%,3.3%,6.5%,4.3%,0.0%,4.3%,0.0%,0.0%,91.3%,91.3%,92.4%,88.0%,95.7%,89.1%,79,3,6,4,0,4,0,0,8,8,7,11,4,10
DIXIE SCHOOL DISTRICT,2016-17,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST VALLEY SCHOOL DISTRICT (SPOKANE),2016-17,306,88.2%,0.7%,0.7%,10.5%,3.3%,6.2%,0.7%,0.3%,91.2%,91.2%,92.2%,91.8%,93.8%,90.5%,270,2,2,32,10,19,2,1,27,27,24,25,19,29
EAST VALLEY SCHOOL DISTRICT (YAKIMA),2016-17,285,96.8%,0.7%,0.0%,2.5%,0.4%,2.1%,0.0%,0.0%,97.9%,97.9%,98.2%,97.9%,97.2%,97.9%,276,2,0,7,1,6,0,0,6,6,5,6,8,6
EASTMONT SCHOOL DISTRICT,2016-17,467,95.7%,0.4%,1.7%,2.1%,0.4%,1.7%,0.0%,0.0%,97.9%,98.5%,98.1%,97.6%,98.5%,96.8%,447,2,8,10,2,8,0,0,10,7,9,11,7,15
EASTON SCHOOL DISTRICT,2016-17,9,66.7%,11.1%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,77.8%,88.9%,88.9%,77.8%,77.8%,6,1,2,0,0,0,0,0,2,2,1,1,2,2
EATONVILLE SCHOOL DISTRICT,2016-17,116,75.9%,0.9%,18.1%,5.2%,3.4%,1.7%,0.0%,0.0%,81.9%,81.9%,81.9%,84.5%,93.1%,84.5%,88,1,21,6,4,2,0,0,21,21,21,18,8,18
EDMONDS SCHOOL DISTRICT,2016-17,"1,708",86.6%,2.2%,6.5%,4.7%,0.8%,3.9%,0.1%,0.0%,91.4%,91.4%,91.8%,91.3%,92.7%,90.1%,"1,479",37,111,81,14,66,2,0,147,147,140,148,125,169
ELLENSBURG SCHOOL DISTRICT,2016-17,282,81.9%,1.8%,13.5%,2.8%,0.0%,2.8%,0.0%,0.0%,89.7%,89.7%,89.7%,88.7%,89.7%,86.2%,231,5,38,8,0,8,0,0,29,29,29,32,29,39
ELMA SCHOOL DISTRICT,2016-17,81,88.9%,2.5%,0.0%,8.6%,0.0%,8.6%,0.0%,0.0%,95.1%,95.1%,95.1%,93.8%,95.1%,93.8%,72,2,0,7,0,7,0,0,4,4,4,5,4,5
ENDICOTT SCHOOL DISTRICT,2016-17,7,85.7%,0.0%,0.0%,14.3%,0.0%,14.3%,0.0%,0.0%,85.7%,85.7%,100.0%,85.7%,100.0%,100.0%,6,0,0,1,0,1,0,0,1,1,0,1,0,0
ENTIAT SCHOOL DISTRICT,2016-17,15,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,15,0,0,0,0,0,0,0,0,0,0,0,0,0
ENUMCLAW SCHOOL DISTRICT,2016-17,265,83.4%,3.0%,6.8%,6.8%,1.5%,4.9%,0.4%,0.0%,92.5%,92.5%,90.6%,89.8%,91.3%,88.7%,221,8,18,18,4,13,1,0,20,20,25,27,23,30
EPHRATA SCHOOL DISTRICT,2016-17,210,90.5%,3.3%,1.9%,4.3%,0.0%,1.9%,1.0%,1.4%,92.4%,92.4%,93.8%,92.9%,94.8%,92.4%,190,7,4,9,0,4,2,3,16,16,13,15,11,16
EVALINE SCHOOL DISTRICT,2016-17,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0
EVERETT SCHOOL DISTRICT,2016-17,"1,700",88.0%,0.8%,6.5%,4.8%,0.6%,4.3%,0.1%,0.1%,92.1%,92.4%,92.5%,91.0%,93.6%,90.9%,"1,496",13,110,81,11,73,1,1,134,129,127,153,109,155
EVERGREEN SCHOOL DISTRICT (CLARK),2016-17,"1,890",70.1%,1.4%,22.7%,5.8%,0.9%,4.4%,0.2%,0.3%,78.9%,78.8%,79.4%,77.0%,84.0%,78.0%,"1,325",26,429,110,17,84,3,6,399,400,390,434,302,416
EVERGREEN SCHOOL DISTRICT (STEVENS),2016-17,4,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,4,0,0,0,0,0,0,0,0,0,0,0,0,0
EXCEL PUBLIC CHARTER SCHOOL LEA,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERAL WAY SCHOOL DISTRICT,2016-17,"1,817",81.7%,2.1%,10.6%,5.6%,0.7%,4.5%,0.2%,0.2%,87.6%,87.6%,87.9%,90.6%,91.5%,86.4%,"1,484",38,193,102,13,82,3,4,225,225,219,171,155,248
FERNDALE SCHOOL DISTRICT,2016-17,350,80.0%,3.7%,5.4%,10.9%,0.6%,10.3%,0.0%,0.0%,86.6%,86.6%,87.7%,86.3%,86.9%,84.6%,280,13,19,38,2,36,0,0,47,47,43,48,46,54
FIFE SCHOOL DISTRICT,2016-17,32,96.9%,0.0%,3.1%,0.0%,0.0%,0.0%,0.0%,0.0%,96.9%,96.9%,96.9%,96.9%,96.9%,96.9%,31,0,1,0,0,0,0,0,1,1,1,1,1,1
FINLEY SCHOOL DISTRICT,2016-17,55,78.2%,3.6%,16.4%,1.8%,1.8%,0.0%,0.0%,0.0%,87.3%,87.3%,83.6%,89.1%,96.4%,83.6%,43,2,9,1,1,0,0,0,7,7,9,6,2,9
FRANKLIN PIERCE SCHOOL DISTRICT,2016-17,624,94.2%,1.3%,0.8%,3.7%,0.2%,3.4%,0.2%,0.0%,95.2%,95.4%,95.0%,95.7%,97.1%,95.0%,588,8,5,23,1,21,1,0,30,29,31,27,18,31
FREEMAN SCHOOL DISTRICT,2016-17,45,93.3%,4.4%,0.0%,2.2%,0.0%,2.2%,0.0%,0.0%,95.6%,95.6%,93.3%,95.6%,95.6%,93.3%,42,2,0,1,0,1,0,0,2,2,3,2,2,3
GARFIELD PALOUSE SCHOOL DISTRICT,2016-17,28,57.1%,0.0%,28.6%,14.3%,3.6%,7.1%,0.0%,3.6%,71.4%,71.4%,71.4%,67.9%,75.0%,71.4%,16,0,8,4,1,2,0,1,8,8,8,9,7,8
GLENWOOD SCHOOL DISTRICT,2016-17,4,75.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,100.0%,100.0%,100.0%,75.0%,3,1,0,0,0,0,0,0,1,1,0,0,0,1
GOLDENDALE SCHOOL DISTRICT,2016-17,61,82.0%,3.3%,0.0%,14.8%,1.6%,4.9%,4.9%,3.3%,83.6%,83.6%,83.6%,85.2%,93.4%,83.6%,50,2,0,9,1,3,3,2,10,10,10,9,4,10
GRAND COULEE DAM SCHOOL DISTRICT,2016-17,52,76.9%,0.0%,19.2%,3.8%,0.0%,3.8%,0.0%,0.0%,78.8%,78.8%,82.7%,76.9%,88.5%,80.8%,40,0,10,2,0,2,0,0,11,11,9,12,6,10
GRANDVIEW SCHOOL DISTRICT,2016-17,316,70.9%,0.3%,27.5%,1.3%,0.0%,1.3%,0.0%,0.0%,79.7%,79.4%,78.5%,78.5%,80.7%,77.8%,224,1,87,4,0,4,0,0,64,65,68,68,61,70
GRANGER SCHOOL DISTRICT,2016-17,112,92.0%,0.0%,8.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.5%,95.5%,95.5%,97.3%,99.1%,93.8%,103,0,9,0,0,0,0,0,5,5,5,3,1,7
GRANITE FALLS SCHOOL DISTRICT,2016-17,126,81.0%,3.2%,11.1%,4.8%,1.6%,3.2%,0.0%,0.0%,86.5%,86.5%,88.1%,86.5%,88.9%,87.3%,102,4,14,6,2,4,0,0,17,17,15,17,14,16
GRAPEVIEW SCHOOL DISTRICT,2016-17,20,80.0%,5.0%,10.0%,5.0%,0.0%,5.0%,0.0%,0.0%,90.0%,90.0%,95.0%,90.0%,95.0%,85.0%,16,1,2,1,0,1,0,0,2,2,1,2,1,3
GREAT NORTHERN SCHOOL DISTRICT,2016-17,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0
GREEN DOT PUBLIC SCHOOLS WASHINGTON STATE CHARTER DISTRICT,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GREEN MOUNTAIN SCHOOL DISTRICT,2016-17,18,88.9%,5.6%,0.0%,5.6%,5.6%,0.0%,0.0%,0.0%,94.4%,94.4%,88.9%,94.4%,94.4%,88.9%,16,1,0,1,1,0,0,0,1,1,2,1,1,2
GRIFFIN SCHOOL DISTRICT,2016-17,53,69.8%,0.0%,18.9%,11.3%,1.9%,9.4%,0.0%,0.0%,83.0%,83.0%,94.3%,79.2%,84.9%,81.1%,37,0,10,6,1,5,0,0,9,9,3,11,8,10
HARRINGTON SCHOOL DISTRICT,2016-17,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGHLAND SCHOOL DISTRICT,2016-17,84,84.5%,1.2%,10.7%,3.6%,1.2%,2.4%,0.0%,0.0%,86.9%,86.9%,86.9%,88.1%,92.9%,85.7%,71,1,9,3,1,2,0,0,11,11,11,10,6,12
HIGHLINE SCHOOL DISTRICT,2016-17,"1,638",82.5%,3.1%,12.8%,1.6%,0.4%,1.2%,0.1%,0.0%,93.3%,94.4%,92.9%,91.6%,95.3%,93.6%,"1,351",51,209,27,7,20,1,0,110,92,116,138,77,105
HOCKINSON SCHOOL DISTRICT,2016-17,123,84.6%,2.4%,2.4%,10.6%,2.4%,7.3%,0.8%,0.8%,89.4%,89.4%,89.4%,87.8%,90.2%,87.0%,104,3,3,13,3,9,1,1,13,13,13,15,12,16
HOOD CANAL SCHOOL DISTRICT,2016-17,31,35.5%,3.2%,58.1%,3.2%,0.0%,3.2%,0.0%,0.0%,41.9%,41.9%,41.9%,41.9%,61.3%,38.7%,11,1,18,1,0,1,0,0,18,18,18,18,12,19
HOQUIAM SCHOOL DISTRICT,2016-17,112,75.9%,2.7%,21.4%,0.0%,0.0%,0.0%,0.0%,0.0%,80.4%,80.4%,82.1%,80.4%,94.6%,80.4%,85,3,24,0,0,0,0,0,22,22,20,22,6,22
INCHELIUM SCHOOL DISTRICT,2016-17,20,60.0%,0.0%,40.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,70.0%,70.0%,80.0%,75.0%,12,0,8,0,0,0,0,0,5,5,6,6,4,5
INDEX SCHOOL DISTRICT,2016-17,8,62.5%,25.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,75.0%,75.0%,75.0%,62.5%,87.5%,75.0%,5,2,0,1,0,1,0,0,2,2,2,3,1,2
ISSAQUAH SCHOOL DISTRICT,2016-17,"1,497",93.9%,1.4%,1.3%,3.5%,0.5%,3.1%,0.0%,0.0%,96.7%,96.9%,96.7%,96.3%,96.2%,95.7%,"1,405",21,19,52,8,47,0,0,49,47,50,55,57,65
KAHLOTUS SCHOOL DISTRICT,2016-17,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0
