County,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,
ISLAND,2017-18, 834 ,87.3%,2.4%,5.3%,5.0%,2.4%,2.6%,0.1%,0.0%,90.6%,90.9%,90.6%,90.5%,92.2%,89.8%,728, 20 , 44 , 42 , 20 , 22 , 1 , -   , 78 , 76 , 78 , 79 , 65 , 85 ,
JEFFERSON,2017-18, 171 ,67.3%,4.1%,16.4%,12.3%,1.2%,10.5%,0.6%,0.0%,77.8%,77.8%,77.8%,76.6%,73.7%,74.3%,115, 7 , 28 , 21 , 2 , 18 , 1 , -   , 38 , 38 , 38 , 40 , 45 , 44 ,  
KING,2017-18," 24,957 ",85.6%,1.5%,9.3%,3.6%,0.6%,2.9%,0.2%,0.0%,91.1%,91.2%,91.0%,90.5%,92.9%,89.8%,21359, 363 ," 2,324 ", 910 , 148 , 735 , 40 , 7 ," 2,224 "," 2,205 "," 2,255 "," 2,360 "," 1,771 "," 2,539 ",
KITSAP,2017-18," 2,620 ",88.7%,1.9%,4.8%,4.5%,1.1%,3.4%,0.2%,0.0%,92.2%,92.1%,92.6%,91.9%,93.5%,91.7%,2325, 50 , 126 , 119 , 28 , 90 , 4 , -   , 205 , 206 , 193 , 211 , 170 , 217 ,
KITTITAS,2017-18, 431 ,81.7%,0.5%,13.7%,4.2%,0.7%,3.5%,0.0%,0.0%,87.5%,87.5%,86.3%,87.2%,91.2%,84.9%,352, 2 , 59 , 18 , 3 , 15 , -   , -   , 54 , 54 , 59 , 55 , 38 , 65 ,
KLICKITAT,2017-18, 257 ,66.5%,1.9%,18.7%,12.8%,5.8%,6.2%,0.8%,0.0%,79.0%,79.0%,78.2%,74.7%,81.7%,74.7%,171, 5 , 48 , 33 , 15 , 16 , 2 , -   , 54 , 54 , 56 , 65 , 47 , 65 ,
LEWIS,2017-18, 730 ,87.1%,1.2%,7.5%,4.1%,0.8%,3.2%,0.1%,0.1%,89.2%,89.2%,91.4%,89.6%,94.5%,90.1%,636, 9 , 55 , 30 , 6 , 23 , 1 , 1 , 79 , 79 , 63 , 76 , 40 , 72 ,
LINCOLN,2017-18, 164 ,84.8%,2.4%,5.5%,7.3%,0.6%,3.7%,2.4%,0.6%,89.0%,89.0%,91.5%,89.0%,91.5%,88.4%,139, 4 , 9 , 12 , 1 , 6 , 4 , 1 , 18 , 18 , 14 , 18 , 14 , 19 ,
MASON,2017-18, 645 ,79.2%,3.7%,13.5%,3.6%,1.4%,1.7%,0.3%,0.2%,85.6%,85.6%,86.4%,84.8%,92.2%,83.3%,511, 24 , 87 , 23 , 9 , 11 , 2 , 1 , 93 , 93 , 88 , 98 , 50 , 108 ,
OKANOGAN,2017-18, 551 ,86.6%,1.3%,9.1%,3.1%,0.4%,2.5%,0.2%,0.0%,90.9%,90.9%,93.3%,92.0%,93.8%,91.7%,477, 7 , 50 , 17 , 2 , 14 , 1 , -   , 50 , 50 , 37 , 44 , 34 , 46 ,
PACIFIC,2017-18, 195 ,78.5%,3.6%,12.3%,5.6%,0.5%,5.1%,0.0%,0.0%,83.6%,83.6%,85.1%,85.1%,90.8%,85.1%,153, 7 , 24 , 11 , 1 , 10 , -   , -   , 32 , 32 , 29 , 29 , 18 , 29 ,
PEND OREILLE,2017-18, 103 ,78.6%,2.9%,13.6%,4.9%,0.0%,4.9%,0.0%,0.0%,87.4%,87.4%,84.5%,86.4%,90.3%,82.5%,81, 3 , 14 , 5 , -   , 5 , -   , -   , 13 , 13 , 16 , 14 , 10 , 18 ,
PIERCE,2017-18," 10,378 ",87.6%,1.6%,6.3%,4.5%,0.9%,3.3%,0.3%,0.1%,91.8%,94.3%,92.1%,91.6%,93.8%,90.9%,9088, 167 , 655 , 468 , 96 , 347 , 26 , 13 , 847 , 587 , 825 , 867 , 642 , 942 ,
SAN JUAN,2017-18, 117 ,47.0%,2.6%,45.3%,5.1%,1.7%,2.6%,0.0%,0.9%,58.1%,58.1%,59.8%,56.4%,69.2%,54.7%,55, 3 , 53 , 6 , 2 , 3 , -   , 1 , 49 , 49 , 47 , 51 , 36 , 53 ,
SKAGIT,2017-18," 1,484 ",83.0%,3.8%,8.2%,5.1%,0.9%,3.8%,0.3%,0.3%,88.9%,88.9%,87.9%,88.1%,90.4%,87.5%,1232, 56 , 121 , 75 , 13 , 57 , 5 , 4 , 165 , 164 , 180 , 176 , 142 , 185 ,
SKAMANIA,2017-18, 61 ,86.9%,1.6%,8.2%,3.3%,1.6%,3.3%,0.0%,0.0%,90.2%,90.2%,90.2%,91.8%,96.7%,88.5%,53, 1 , 5 , 2 , 1 , 2 , -   , -   , 6 , 6 , 6 , 5 , 2 , 7 ,
SNOHOMISH,2017-18," 8,009 ",85.4%,1.5%,7.6%,5.5%,0.7%,4.6%,0.1%,0.1%,90.0%,90.0%,90.2%,89.3%,92.6%,88.9%,6843, 121 , 611 , 437 , 57 , 371 , 10 , 6 , 802 , 803 , 784 , 856 , 589 , 891 ,
SPOKANE,2017-18," 5,860 ",83.5%,2.1%,6.5%,8.0%,1.2%,6.6%,0.3%,0.0%,88.1%,88.3%,88.7%,87.9%,89.9%,87.4%,4894, 124 , 378 , 470 , 71 , 386 , 20 , 2 , 698 , 688 , 665 , 708 , 592 , 741 ,
STEVENS,2017-18, 359 ,67.7%,2.8%,16.2%,13.4%,2.5%,10.6%,0.3%,0.0%,73.5%,73.5%,74.1%,74.1%,79.4%,73.5%,243, 10 , 58 , 48 , 9 , 38 , 1 , -   , 95 , 95 , 93 , 93 , 74 , 95 ,
THURSTON,2017-18," 3,415 ",84.0%,1.3%,9.7%,5.1%,1.0%,4.0%,0.2%,0.0%,89.4%,89.4%,90.4%,88.6%,91.2%,88.6%,2868, 43 , 331 , 173 , 33 , 138 , 7 , 1 , 362 , 363 , 328 , 389 , 300 , 389 ,
WAHKIAKUM,2017-18, 29 ,79.3%,0.0%,10.3%,10.3%,3.4%,0.0%,3.4%,3.4%,82.8%,82.8%,79.3%,82.8%,89.7%,82.8%,23, -   , 3 , 3 , 1 , -   , 1 , 1 , 5 , 5 , 6 , 5 , 3 , 5 ,
WALLA WALLA,2017-18, 655 ,90.1%,1.5%,4.0%,4.4%,1.1%,3.2%,0.3%,0.0%,93.1%,93.1%,93.3%,92.2%,94.0%,92.7%,590, 10 , 26 , 29 , 7 , 21 , 2 , -   , 45 , 45 , 44 , 51 , 39 , 48 ,
WHATCOM,2017-18," 1,280 ",79.0%,2.0%,10.7%,8.4%,0.7%,9.3%,0.3%,0.0%,84.5%,84.6%,85.3%,84.5%,87.7%,83.9%,1011, 25 , 137 , 107 , 9 , 119 , 4 , -   , 198 , 197 , 188 , 198 , 157 , 206 ,
WHITMAN,2017-18, 452 ,90.7%,0.2%,5.8%,3.3%,0.4%,2.9%,0.0%,0.0%,93.8%,93.8%,94.2%,94.5%,94.7%,93.6%,410, 1 , 26 , 15 , 2 , 13 , -   , -   , 28 , 28 , 26 , 25 , 24 , 29 ,
YAKIMA,2017-18," 3,918 ",92.9%,1.0%,4.9%,1.1%,0.5%,0.6%,0.1%,0.0%,94.9%,95.4%,95.5%,94.9%,97.0%,95.1%,3641, 40 , 193 , 44 , 18 , 25 , 2 , -   , 199 , 181 , 175 , 199 , 117 , 191 ,
