School_District,School_year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella
BRINNON SCHOOL DISTRICT,2013-14,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,100.0%,100.0%,50.0%,100.0%,2,0,0,0,0,0,0,0,1,0,0,0,1,0
BURLINGTON-EDISON SCHOOL DISTRICT,2013-14,296,80.7%,1.7%,12.8%,4.7%,1.7%,2.7%,0.3%,0.0%,93.9%,93.6%,94.3%,90.2%,89.5%,91.9%,239,5,38,14,5,8,1,0,18,19,17,29,31,24
CAMAS SCHOOL DISTRICT,2013-14,372,86.8%,0.5%,0.5%,12.1%,3.8%,5.6%,2.7%,0.3%,91.1%,90.3%,90.3%,89.8%,92.5%,90.1%,323,2,2,45,14,21,10,1,33,36,36,38,28,37
CAPE FLATTERY SCHOOL DISTRICT,2013-14,11,72.7%,0.0%,18.2%,9.1%,0.0%,9.1%,0.0%,0.0%,81.8%,81.8%,81.8%,81.8%,72.7%,81.8%,8,0,2,1,0,1,0,0,2,2,2,2,3,2
CARBONADO SCHOOL DISTRICT,2013-14,17,88.2%,0.0%,0.0%,11.8%,0.0%,11.8%,0.0%,0.0%,94.1%,94.1%,88.2%,88.2%,88.2%,88.2%,15,0,0,2,0,2,0,0,1,1,2,2,2,2
CASCADE SCHOOL DISTRICT,2013-14,97,94.8%,2.1%,0.0%,3.1%,0.0%,3.1%,0.0%,0.0%,96.9%,96.9%,95.9%,96.9%,94.8%,94.8%,92,2,0,3,0,3,0,0,3,3,4,3,5,5
CASHMERE SCHOOL DISTRICT,2013-14,116,97.4%,0.0%,0.0%,2.6%,0.9%,1.7%,0.0%,0.0%,98.3%,98.3%,99.1%,98.3%,98.3%,100.0%,113,0,0,3,1,2,0,0,2,2,1,2,2,0
CASTLE ROCK SCHOOL DISTRICT,2013-14,107,71.0%,1.9%,20.6%,6.5%,0.0%,6.5%,0.0%,0.0%,81.3%,81.3%,76.6%,80.4%,86.9%,72.9%,76,2,22,7,0,7,0,0,20,20,25,21,14,29
CENTERVILLE SCHOOL DISTRICT,2013-14,3,33.3%,0.0%,66.7%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,66.7%,66.7%,100.0%,1,0,2,0,0,0,0,0,0,0,0,1,1,0
CENTRAL KITSAP SCHOOL DISTRICT,2013-14,840,92.6%,0.6%,3.9%,2.9%,1.2%,1.2%,0.5%,0.0%,94.4%,94.4%,95.7%,95.6%,96.7%,95.4%,778,5,33,24,10,10,4,0,47,47,36,37,28,39
CENTRAL VALLEY SCHOOL DISTRICT,2013-14,970,84.2%,0.6%,7.8%,7.3%,1.0%,5.8%,0.4%,0.1%,90.1%,90.2%,90.6%,90.9%,92.4%,89.2%,817,6,76,71,10,56,4,1,96,95,91,88,74,105
CENTRALIA SCHOOL DISTRICT,2013-14,324,88.6%,0.6%,6.2%,4.6%,1.5%,2.2%,0.9%,0.0%,92.9%,92.6%,92.9%,92.3%,94.1%,92.0%,287,2,20,15,5,7,3,0,23,24,23,25,19,26
CHEHALIS SCHOOL DISTRICT,2013-14,231,90.5%,3.0%,0.9%,5.6%,3.0%,4.3%,0.4%,0.0%,95.2%,95.2%,95.2%,95.7%,95.2%,91.3%,209,7,2,13,7,10,1,0,11,11,11,10,11,20
CHENEY SCHOOL DISTRICT,2013-14,313,80.5%,1.0%,12.8%,5.8%,0.6%,5.1%,0.0%,0.0%,83.4%,83.4%,84.0%,83.7%,90.7%,82.4%,252,3,40,18,2,16,0,0,52,52,50,51,29,55
CHEWELAH SCHOOL DISTRICT,2013-14,45,88.9%,0.0%,2.2%,8.9%,0.0%,8.9%,0.0%,0.0%,91.1%,91.1%,91.1%,91.1%,88.9%,91.1%,40,0,1,4,0,4,0,0,4,4,4,4,5,4
CHIMACUM SCHOOL DISTRICT,2013-14,115,78.3%,0.0%,2.6%,19.1%,0.9%,10.4%,0.9%,7.0%,88.7%,86.1%,86.1%,87.8%,84.3%,83.5%,90,0,3,22,1,12,1,8,13,16,16,14,18,19
CLARKSTON SCHOOL DISTRICT,2013-14,19,94.7%,5.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,94.7%,100.0%,100.0%,94.7%,18,1,0,0,0,0,0,0,0,0,1,0,0,1
CLE ELUM-ROSLYN SCHOOL DISTRICT,2013-14,65,90.8%,0.0%,3.1%,6.2%,3.1%,3.1%,0.0%,0.0%,96.9%,96.9%,96.9%,95.4%,95.4%,95.4%,59,0,2,4,2,2,0,0,2,2,2,3,3,3
CLOVER PARK SCHOOL DISTRICT,2013-14,1366,88.1%,1.7%,8.3%,1.9%,1.2%,0.5%,0.2%,0.0%,93.6%,93.7%,94.0%,93.7%,95.5%,93.3%,1204,23,113,26,16,7,3,0,87,86,82,86,61,91
COLFAX SCHOOL DISTRICT,2013-14,86,97.7%,0.0%,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,97.7%,84,0,2,0,0,0,0,0,0,0,0,0,0,2
COLLEGE PLACE SCHOOL DISTRICT,2013-14,27,81.5%,0.0%,11.1%,7.4%,0.0%,7.4%,0.0%,0.0%,88.9%,92.6%,88.9%,92.6%,92.6%,85.2%,22,0,3,2,0,2,0,0,3,2,3,2,2,4
COLTON SCHOOL DISTRICT,2013-14,20,70.0%,0.0%,15.0%,15.0%,0.0%,10.0%,0.0%,5.0%,70.0%,70.0%,70.0%,70.0%,70.0%,70.0%,14,0,3,3,0,2,0,1,6,6,6,6,6,6
COLUMBIA (STEVENS) SCHOOL DISTRICT,2013-14,4,75.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,100.0%,100.0%,100.0%,100.0%,3,1,0,0,0,0,0,0,1,1,0,0,0,0
COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLVILLE SCHOOL DISTRICT,2013-14,156,66.7%,0.0%,26.9%,6.4%,0.6%,5.1%,0.0%,0.6%,96.2%,96.2%,94.9%,94.9%,95.5%,94.9%,104,0,42,10,1,8,0,1,6,6,8,8,7,8
CONCRETE SCHOOL DISTRICT,2013-14,33,75.8%,6.1%,12.1%,6.1%,3.0%,3.0%,0.0%,0.0%,87.9%,87.9%,84.8%,84.8%,93.9%,81.8%,25,2,4,2,1,1,0,0,4,4,5,5,2,6
CONWAY SCHOOL DISTRICT,2013-14,44,72.7%,4.5%,11.4%,11.4%,2.3%,9.1%,0.0%,0.0%,88.6%,88.6%,86.4%,81.8%,88.6%,81.8%,32,2,5,5,1,4,0,0,5,5,6,8,5,8
COSMOPOLIS SCHOOL DISTRICT,2013-14,24,79.2%,0.0%,16.7%,4.2%,0.0%,4.2%,0.0%,0.0%,79.2%,79.2%,79.2%,83.3%,95.8%,79.2%,19,0,4,1,0,1,0,0,5,5,5,4,1,5
COULEE-HARTLINE SCHOOL DISTRICT,2013-14,12,66.7%,16.7%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%,91.7%,91.7%,83.3%,66.7%,83.3%,83.3%,8,2,2,0,0,0,0,0,1,1,2,4,2,2
COUPEVILLE SCHOOL DISTRICT,2013-14,51,94.1%,0.0%,3.9%,2.0%,0.0%,2.0%,0.0%,0.0%,94.1%,94.1%,94.1%,94.1%,94.1%,94.1%,48,0,2,1,0,1,0,0,3,3,3,3,3,3
CRESCENT SCHOOL DISTRICT,2013-14,10,80.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.0%,80.0%,100.0%,90.0%,100.0%,80.0%,8,0,2,0,0,0,0,0,2,2,0,1,0,2
CRESTON SCHOOL DISTRICT,2013-14,8,87.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,87.5%,100.0%,100.0%,100.0%,7,1,0,0,0,0,0,0,0,0,1,0,0,0
CURLEW SCHOOL DISTRICT,2013-14,11,54.5%,0.0%,27.3%,18.2%,0.0%,0.0%,18.2%,0.0%,81.8%,81.8%,72.7%,81.8%,72.7%,63.6%,6,0,3,2,0,0,2,0,2,2,3,2,3,4
CUSICK SCHOOL DISTRICT,2013-14,27,63.0%,0.0%,22.2%,14.8%,11.1%,3.7%,0.0%,0.0%,85.2%,85.2%,81.5%,88.9%,81.5%,70.4%,17,0,6,4,3,1,0,0,4,4,5,3,5,8
DAMMAN SCHOOL DISTRICT,2013-14,7,71.4%,0.0%,14.3%,14.3%,0.0%,14.3%,0.0%,0.0%,85.7%,85.7%,85.7%,85.7%,85.7%,85.7%,5,0,1,1,0,1,0,0,1,1,1,1,1,1
DARRINGTON SCHOOL DISTRICT,2013-14,34,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,34,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVENPORT SCHOOL DISTRICT,2013-14,45,55.6%,0.0%,40.0%,4.4%,0.0%,4.4%,0.0%,0.0%,68.9%,68.9%,68.9%,73.3%,80.0%,66.7%,25,0,18,2,0,2,0,0,14,14,14,12,9,15
DAYTON SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEER PARK SCHOOL DISTRICT,2013-14,171,67.3%,1.2%,22.2%,9.4%,2.3%,7.0%,0.0%,0.0%,73.1%,73.1%,76.0%,75.4%,83.6%,71.9%,115,2,38,16,4,12,0,0,46,46,41,42,28,48
DIERINGER SCHOOL DISTRICT,2013-14,179,86.0%,2.2%,6.1%,5.6%,3.4%,2.2%,0.0%,0.0%,92.7%,92.7%,90.5%,91.1%,93.3%,90.5%,154,4,11,10,6,4,0,0,13,13,17,16,12,17
DIXIE SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAST VALLEY SCHOOL DISTRICT (SPOKANE),2013-14,396,71.2%,3.0%,18.2%,7.6%,2.0%,4.8%,0.3%,0.5%,77.5%,77.5%,77.3%,77.0%,81.6%,76.0%,282,12,72,30,8,19,1,2,89,89,90,91,73,95
EAST VALLEY SCHOOL DISTRICT (YAKIMA),2013-14,286,73.4%,0.3%,24.8%,1.4%,0.3%,1.0%,0.0%,0.0%,82.5%,82.5%,82.5%,80.8%,80.8%,81.1%,210,1,71,4,1,3,0,0,50,50,50,55,55,54
EASTMONT SCHOOL DISTRICT,2013-14,457,98.5%,0.2%,0.0%,1.3%,0.4%,0.7%,0.0%,0.2%,99.1%,99.1%,98.7%,99.1%,99.1%,98.5%,450,1,0,6,2,3,0,1,4,4,6,4,4,7
EASTON SCHOOL DISTRICT,2013-14,9,88.9%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,88.9%,100.0%,88.9%,100.0%,100.0%,8,0,1,0,0,0,0,0,1,1,0,1,0,0
EATONVILLE SCHOOL DISTRICT,2013-14,98,88.8%,1.0%,1.0%,9.2%,9.2%,0.0%,0.0%,0.0%,94.9%,94.9%,94.9%,94.9%,94.9%,93.9%,87,1,1,9,9,0,0,0,5,5,5,5,5,6
EDMONDS SCHOOL DISTRICT,2013-14,1763,86.2%,2.6%,5.2%,6.0%,1.6%,4.2%,0.2%,0.1%,91.8%,91.9%,90.9%,90.9%,92.5%,89.9%,1519,46,92,106,28,74,4,2,145,143,161,160,132,178
ELLENSBURG SCHOOL DISTRICT,2013-14,282,66.3%,0.4%,28.0%,5.3%,1.8%,3.2%,0.4%,0.0%,81.9%,81.2%,82.3%,79.8%,85.1%,76.6%,187,1,79,15,5,9,1,0,51,53,50,57,42,66
ELMA SCHOOL DISTRICT,2013-14,100,96.0%,0.0%,0.0%,4.0%,1.0%,3.0%,0.0%,0.0%,99.0%,99.0%,99.0%,100.0%,99.0%,99.0%,96,0,0,4,1,3,0,0,1,1,1,0,1,1
ENDICOTT SCHOOL DISTRICT,2013-14,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ENTIAT SCHOOL DISTRICT,2013-14,31,83.9%,0.0%,9.7%,6.5%,0.0%,6.5%,0.0%,0.0%,90.3%,90.3%,90.3%,83.9%,87.1%,93.5%,26,0,3,2,0,2,0,0,3,3,3,5,4,2
ENUMCLAW SCHOOL DISTRICT,2013-14,288,81.6%,1.4%,11.5%,5.6%,1.0%,4.9%,0.0%,0.0%,87.2%,87.2%,87.5%,87.5%,91.0%,85.8%,235,4,33,16,3,14,0,0,37,37,36,36,26,41
EPHRATA SCHOOL DISTRICT,2013-14,109,88.1%,0.9%,10.1%,0.9%,0.0%,0.9%,0.0%,0.0%,91.7%,91.7%,89.9%,91.7%,94.5%,88.1%,96,1,11,1,0,1,0,0,9,9,11,9,6,13
EVALINE SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVERETT SCHOOL DISTRICT,2013-14,1682,88.0%,1.1%,5.9%,4.9%,1.0%,3.4%,0.2%,0.3%,92.4%,93.5%,92.2%,92.1%,94.8%,91.1%,1480,19,100,83,17,58,3,5,128,110,131,133,88,150
EVERGREEN SCHOOL DISTRICT (CLARK),2013-14,1990,72.4%,1.9%,18.5%,7.2%,0.5%,5.9%,0.2%,0.7%,81.1%,81.1%,81.8%,80.4%,83.2%,80.7%,1440,37,369,144,10,118,3,14,377,377,362,390,335,385
EVERGREEN SCHOOL DISTRICT (STEVENS),2013-14,4,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,75.0%,75.0%,75.0%,50.0%,2,0,2,0,0,0,0,0,1,1,1,1,1,2
FEDERAL WAY SCHOOL DISTRICT,2013-14,1755,90.0%,0.9%,5.9%,3.2%,1.2%,1.9%,0.1%,0.2%,95.0%,95.3%,95.0%,95.7%,94.1%,94.3%,1579,16,103,57,21,34,2,4,88,83,88,75,103,100
FERNDALE SCHOOL DISTRICT,2013-14,395,82.5%,1.0%,7.3%,9.1%,1.8%,7.1%,0.3%,0.0%,91.4%,91.4%,88.9%,89.6%,90.4%,86.8%,326,4,29,36,7,28,1,0,34,34,44,41,38,52
FIFE SCHOOL DISTRICT,2013-14,247,91.9%,0.8%,2.4%,4.9%,2.8%,1.6%,0.0%,0.4%,95.1%,95.1%,95.1%,96.4%,95.5%,94.7%,227,2,6,12,7,4,0,1,12,12,12,9,11,13
FINLEY SCHOOL DISTRICT,2013-14,70,80.0%,2.9%,15.7%,1.4%,0.0%,1.4%,0.0%,0.0%,82.9%,82.9%,84.3%,82.9%,91.4%,85.7%,56,2,11,1,0,1,0,0,12,12,11,12,6,10
FRANKLIN PIERCE SCHOOL DISTRICT,2013-14,640,92.7%,2.5%,2.7%,2.2%,0.0%,1.6%,0.5%,0.2%,95.3%,95.5%,95.9%,96.1%,97.0%,95.8%,593,16,17,14,0,10,3,1,30,29,26,25,19,27
FREEMAN SCHOOL DISTRICT,2013-14,43,93.0%,0.0%,0.0%,7.0%,2.3%,4.7%,0.0%,0.0%,97.7%,95.3%,95.3%,95.3%,95.3%,93.0%,40,0,0,3,1,2,0,0,1,2,2,2,2,3
GARFIELD SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLENWOOD SCHOOL DISTRICT,2013-14,4,50.0%,25.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,75.0%,100.0%,75.0%,100.0%,100.0%,2,1,1,0,0,0,0,0,1,1,0,1,0,0
GOLDENDALE SCHOOL DISTRICT,2013-14,67,80.6%,6.0%,0.0%,13.4%,4.5%,1.5%,7.5%,0.0%,88.1%,88.1%,88.1%,89.6%,86.6%,85.1%,54,4,0,9,3,1,5,0,8,8,8,7,9,10
GRAND COULEE DAM SCHOOL DISTRICT,2013-14,60,88.3%,1.7%,6.7%,3.3%,0.0%,3.3%,0.0%,0.0%,93.3%,93.3%,95.0%,93.3%,93.3%,93.3%,53,1,4,2,0,2,0,0,4,4,3,4,4,4
GRANDVIEW SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRANGER SCHOOL DISTRICT,2013-14,130,98.5%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,98.5%,100.0%,100.0%,100.0%,100.0%,99.2%,128,2,0,0,0,0,0,0,2,0,0,0,0,1
GRANITE FALLS SCHOOL DISTRICT,2013-14,130,82.3%,10.8%,2.3%,4.6%,0.0%,3.1%,0.8%,0.8%,90.8%,90.8%,88.5%,86.9%,92.3%,87.7%,107,14,3,6,0,4,1,1,12,12,15,17,10,16
GRAPEVIEW SCHOOL DISTRICT,2013-14,22,81.8%,0.0%,13.6%,4.5%,0.0%,4.5%,0.0%,0.0%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,18,0,3,1,0,1,0,0,1,1,1,1,1,1
GREAT NORTHERN SCHOOL DISTRICT,2013-14,6,66.7%,16.7%,0.0%,16.7%,0.0%,16.7%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,66.7%,4,1,0,1,0,1,0,0,0,0,0,0,0,2
GREEN MOUNTAIN SCHOOL DISTRICT,2013-14,18,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,55.6%,55.6%,55.6%,50.0%,9,0,9,0,0,0,0,0,9,9,8,8,8,9
GRIFFIN SCHOOL DISTRICT,2013-14,79,75.9%,3.8%,12.7%,7.6%,2.5%,5.1%,0.0%,0.0%,89.9%,89.9%,89.9%,83.5%,88.6%,86.1%,60,3,10,6,2,4,0,0,8,8,8,13,9,11
HARRINGTON SCHOOL DISTRICT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGHLAND SCHOOL DISTRICT,2013-14,86,86.0%,0.0%,11.6%,2.3%,0.0%,2.3%,0.0%,0.0%,97.7%,97.7%,97.7%,95.3%,89.5%,96.5%,74,0,10,2,0,2,0,0,2,2,2,4,9,3
HIGHLINE SCHOOL DISTRICT,2013-14,1755,84.4%,6.5%,7.8%,1.3%,0.3%,0.9%,0.1%,0.0%,93.8%,94.6%,94.8%,94.0%,95.0%,94.2%,1482,114,137,22,6,15,1,0,108,94,92,105,88,101
HOCKINSON SCHOOL DISTRICT,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOOD CANAL SCHOOL DISTRICT,2013-14,35,51.4%,5.7%,40.0%,2.9%,0.0%,0.0%,0.0%,2.9%,68.6%,68.6%,71.4%,60.0%,88.6%,65.7%,18,2,14,1,0,0,0,1,11,11,10,14,4,12
HOQUIAM SCHOOL DISTRICT,2013-14,119,74.8%,0.0%,25.2%,0.0%,0.0%,0.0%,0.0%,0.0%,79.8%,79.8%,79.0%,77.3%,86.6%,79.8%,89,0,30,0,0,0,0,0,24,24,25,27,16,24
INCHELIUM SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDEX SCHOOL DISTRICT,2013-14,6,33.3%,0.0%,33.3%,33.3%,0.0%,33.3%,0.0%,0.0%,50.0%,50.0%,50.0%,50.0%,66.7%,33.3%,2,0,2,2,0,2,0,0,3,3,3,3,2,4
ISSAQUAH SCHOOL DISTRICT,2013-14,1334,93.3%,2.2%,1.4%,3.1%,0.9%,2.1%,0.1%,0.1%,96.4%,96.7%,96.2%,96.0%,96.0%,95.5%,1245,29,19,41,12,28,1,1,48,44,51,53,53,60
KAHLOTUS SCHOOL DISTRICT,2013-14,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KALAMA SCHOOL DISTRICT,2013-14,68,76.5%,1.5%,11.8%,10.3%,1.5%,8.8%,0.0%,0.0%,85.3%,85.3%,86.8%,86.8%,82.4%,85.3%,52,1,8,7,1,6,0,0,10,10,9,9,12,10
KELLER SCHOOL DISTRICT,2013-14,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KELSO SCHOOL DISTRICT,2013-14,365,95.1%,1.6%,0.0%,3.3%,1.1%,1.9%,0.3%,0.0%,97.0%,97.0%,96.2%,97.3%,98.1%,96.2%,347,6,0,12,4,7,1,0,11,11,14,10,7,14
KENNEWICK SCHOOL DISTRICT,2013-14,1465,93.0%,1.6%,1.9%,3.4%,0.7%,2.5%,0.2%,0.1%,95.8%,96.0%,95.7%,95.5%,97.5%,95.6%,1363,24,28,50,10,36,3,1,62,59,63,66,36,65
KENT SCHOOL DISTRICT,2013-14,2156,82.5%,1.6%,13.1%,2.7%,0.8%,1.9%,0.1%,0.0%,88.6%,88.6%,89.1%,88.0%,91.9%,88.2%,1779,35,283,59,17,42,2,0,246,246,236,258,174,255
