County,SiteName,Grade,"# Documentation Required
(Adjusted Enrollment)","# Vaccinated:
DTaP/Tdap","% Vaccinated:
DTaP/Tdap","# Vaccinated:
Polio","% Vaccinated:
Polio","# Vaccinated:
Varicella","% Vaccinated:
Varicella","# Vaccinated:
MMR1","% Vaccinated:
Mumps/Rubella","# Vaccinated:
Measles","% Vaccinated:
Measles","# Vaccinated:
HepB","% Vaccinated:
HepB","# Requiring
HepA","# Vaccinated:
HepA","% Vaccinated:
HepA","# with all
vaccines required","% with all
vaccines required","# Nonmedical Exemptions
Any Vaccines","% Nonmedical Exemptions
Any Vaccines","# Exemption:
DTaP/Tdap","% Exemption:
DTaP/Tdap","# Exemption:
Polio","% Exemption:
Polio","# Exemption:
Varicella","% Exemption:
Varicella","# Exemption:
Measles","% Exemption:
Measles","# Exemption:
Mumps","% Exemption:
Mumps","# Exemption:
Rubella","% Exemption:
Rubella","# Exemption:
HepB","% Exemption:
HepB","# Exemption:
HepA","% Exemption:
HepA","# Nonmedical Exemptions
All Vaccines","% Nonmedical Exemptions
All Vaccines",# No Record,% No Record,"# w/ Medical
Exemption(s)","% w/ Medical
Exemption(s)",# Not Counted
Baker,KEATING ELEMENTARY SCHOOL,FULL SCHOOL GRADES K-12,28,24,86%,24,86%,24,86%,24,86%,24,86%,25,89%,28,24,86%,24,86%,4,14%,4,14%,4,14%,4,14%,4,14%,4,14%,4,14%,3,11%,4,14%,3,11%,0,0%,0,0%,0
Baker,PINE EAGLE CHARTER SCHOOL,FULL SCHOOL GRADES K-12,205,191,93%,186,91%,190,93%,187,91%,187,91%,194,95%,185,167,90%,182,89%,22,11%,17,8%,21,10%,18,9%,20,10%,20,10%,20,10%,17,8%,5,3%,14,7%,0,0%,1,0%,0
Baker,SOUTH BAKER INTERMEDIATE,FULL SCHOOL GRADES K-12,371,354,95%,351,95%,355,96%,354,95%,353,95%,355,96%,371,352,95%,349,94%,20,5%,16,4%,19,5%,18,5%,18,5%,17,5%,17,5%,15,4%,16,4%,13,4%,0,0%,0,0%,0
Benton,Adams Elementary School,FULL SCHOOL GRADES K-12,446,433,97%,435,98%,437,98%,437,98%,436,98%,435,98%,446,433,97%,427,96%,11,2%,9,2%,10,2%,8,2%,9,2%,8,2%,8,2%,8,2%,10,2%,8,2%,1,0%,0,0%,2
Benton,Alsea Elementary School,FULL SCHOOL GRADES K-12,97,83,86%,83,86%,90,93%,88,91%,81,84%,91,94%,97,87,90%,80,82%,14,14%,12,12%,13,13%,6,6%,14,14%,8,8%,8,8%,6,6%,10,10%,5,5%,0,0%,2,2%,0
Benton,Alsea Middle School and High School,FULL SCHOOL GRADES K-12,210,190,90%,195,93%,199,95%,200,95%,194,92%,197,94%,135,125,93%,187,89%,15,7%,14,7%,11,5%,9,4%,12,6%,8,4%,8,4%,9,4%,8,6%,8,4%,3,1%,0,0%,0
Benton,Ashbrook Independent School,FULL SCHOOL GRADES K-12,148,144,97%,144,97%,146,99%,144,97%,144,97%,141,95%,148,143,97%,139,94%,6,4%,4,3%,4,3%,4,3%,5,3%,5,3%,5,3%,5,3%,5,3%,2,1%,0,0%,1,1%,0
Benton,Blodgett Elementary School,FULL SCHOOL GRADES K-12,32,29,91%,27,84%,27,84%,27,84%,27,84%,27,84%,32,27,84%,27,84%,5,16%,3,9%,5,16%,5,16%,5,16%,5,16%,5,16%,5,16%,5,16%,3,9%,0,0%,0,0%,0
Benton,Cheldelin Middle School,FULL SCHOOL GRADES K-12,610,582,95%,588,96%,592,97%,591,97%,586,96%,587,96%,610,586,96%,576,94%,27,4%,23,4%,19,3%,15,2%,20,3%,16,3%,16,3%,20,3%,19,3%,15,2%,0,0%,0,0%,0
Benton,Clemens Primary School,FULL SCHOOL GRADES K-12,178,165,93%,168,94%,173,97%,173,97%,168,94%,172,97%,178,168,94%,163,92%,13,7%,12,7%,10,6%,8,4%,10,6%,5,3%,5,3%,6,3%,8,4%,5,3%,0,0%,0,0%,0
Benton,Corvallis High School,FULL SCHOOL GRADES K-12,"1,230","1,179",96%,"1,186",96%,"1,197",97%,"1,201",98%,"1,188",97%,"1,188",97%,599,566,94%,"1,154",94%,65,5%,45,4%,39,3%,32,3%,37,3%,29,2%,29,2%,39,3%,30,5%,19,2%,0,0%,3,0%,1
Benton,Corvallis Montessori School,FULL SCHOOL GRADES K-12,10,8,80%,8,80%,8,80%,8,80%,8,80%,8,80%,10,8,80%,8,80%,2,20%,2,20%,2,20%,2,20%,2,20%,2,20%,2,20%,2,20%,2,20%,2,20%,0,0%,0,0%,0
Benton,Corvallis Waldorf School,FULL SCHOOL GRADES K-12,150,91,61%,78,52%,86,57%,85,57%,85,57%,79,53%,150,81,54%,73,49%,77,51%,59,39%,72,48%,64,43%,65,43%,65,43%,65,43%,71,47%,69,46%,54,36%,0,0%,0,0%,63
Benton,Crescent Valley High School,FULL SCHOOL GRADES K-12,982,934,95%,941,96%,948,97%,950,97%,944,96%,943,96%,457,435,95%,919,94%,56,6%,47,5%,42,4%,34,3%,38,4%,32,3%,32,3%,37,4%,18,4%,26,3%,0,0%,2,0%,0
Benton,Farm Home School - LBLESD,FULL SCHOOL GRADES K-12,67,64,96%,66,99%,66,99%,66,99%,65,97%,66,99%,43,41,95%,61,91%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,0,0%,0
Benton,FH-Wake Robin School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton,Fir Grove Primary School,FULL SCHOOL GRADES K-12,131,125,95%,124,95%,123,94%,122,93%,122,93%,126,96%,131,122,93%,120,92%,7,5%,6,5%,7,5%,7,5%,7,5%,5,4%,5,4%,5,4%,7,5%,5,4%,0,0%,2,2%,0
Benton,Franklin Elementary School,FULL SCHOOL GRADES K-12,172,162,94%,162,94%,158,92%,163,95%,162,94%,159,92%,172,160,93%,158,92%,14,8%,10,6%,10,6%,14,8%,10,6%,9,5%,9,5%,13,8%,12,7%,9,5%,0,0%,0,0%,0
Benton,Franklin Middle School,FULL SCHOOL GRADES K-12,157,150,96%,147,94%,152,97%,151,96%,149,95%,150,96%,157,148,94%,147,94%,9,6%,6,4%,9,6%,5,3%,8,5%,6,4%,6,4%,7,4%,8,5%,2,1%,0,0%,0,0%,1
Benton,Garfield Elementary School,FULL SCHOOL GRADES K-12,438,425,97%,423,97%,426,97%,429,98%,426,97%,417,95%,438,413,94%,411,94%,18,4%,11,3%,13,3%,12,3%,11,3%,9,2%,9,2%,17,4%,18,4%,7,2%,0,0%,0,0%,0
Benton,Hoover Elementary School,FULL SCHOOL GRADES K-12,407,401,99%,397,98%,402,99%,404,99%,398,98%,398,98%,407,396,97%,391,96%,11,3%,6,1%,10,2%,5,1%,9,2%,3,1%,3,1%,7,2%,8,2%,3,1%,0,0%,0,0%,0
Benton,Jefferson Elementary School,FULL SCHOOL GRADES K-12,347,333,96%,331,95%,335,97%,340,98%,332,96%,324,93%,347,330,95%,317,91%,21,6%,11,3%,14,4%,12,3%,11,3%,7,2%,7,2%,20,6%,14,4%,6,2%,0,0%,0,0%,0
Benton,Kings Valley Charter School - Elementary,FULL SCHOOL GRADES K-12,105,96,91%,97,92%,98,93%,99,94%,95,90%,95,90%,105,94,90%,89,85%,15,14%,8,8%,8,8%,8,8%,10,10%,6,6%,6,6%,10,10%,11,10%,6,6%,0,0%,0,0%,0
Benton,Kings Valley Charter School - Middle & High School,FULL SCHOOL GRADES K-12,97,83,86%,87,90%,86,89%,87,90%,86,89%,84,87%,80,69,86%,79,81%,18,19%,14,14%,10,10%,11,11%,11,11%,10,10%,10,10%,13,13%,11,14%,10,10%,0,0%,0,0%,0
Benton,Lincoln Elementary School,FULL SCHOOL GRADES K-12,366,350,96%,347,95%,351,96%,351,96%,348,95%,346,95%,366,344,94%,340,93%,26,7%,16,4%,19,5%,15,4%,18,5%,15,4%,15,4%,20,5%,22,6%,11,3%,0,0%,0,0%,0
Benton,Linus Pauling Middle School,FULL SCHOOL GRADES K-12,758,725,96%,733,97%,740,98%,740,98%,737,97%,731,96%,758,726,96%,713,94%,31,4%,22,3%,19,3%,12,2%,15,2%,12,2%,12,2%,21,3%,23,3%,11,1%,0,0%,1,0%,3
Benton,Monroe Grade School,FULL SCHOOL GRADES K-12,176,172,98%,172,98%,174,99%,174,99%,173,98%,174,99%,176,174,99%,171,97%,4,2%,3,2%,3,2%,2,1%,3,2%,2,1%,2,1%,2,1%,2,1%,1,1%,0,0%,0,0%,0
Benton,Monroe High School,FULL SCHOOL GRADES K-12,113,111,98%,112,99%,113,100%,113,100%,112,99%,113,100%,63,62,98%,110,97%,2,2%,2,2%,1,1%,0,0%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1
Benton,Monroe Middle School,FULL SCHOOL GRADES K-12,88,86,98%,87,99%,88,100%,88,100%,87,99%,88,100%,88,87,99%,86,98%,2,2%,2,2%,1,1%,0,0%,1,1%,0,0%,0,0%,0,0%,1,1%,0,0%,0,0%,0,0%,0
Benton,Mountain View Elementary School,FULL SCHOOL GRADES K-12,323,308,95%,311,96%,312,97%,313,97%,311,96%,311,96%,323,306,95%,305,94%,15,5%,13,4%,12,4%,12,4%,12,4%,10,3%,10,3%,12,4%,14,4%,10,3%,0,0%,0,0%,16
Benton,Muddy Creek Charter School,FULL SCHOOL GRADES K-12,110,91,83%,87,79%,91,83%,96,87%,90,82%,85,77%,110,86,78%,83,75%,27,25%,19,17%,23,21%,19,17%,20,18%,14,13%,14,13%,25,23%,24,22%,12,11%,0,0%,0,0%,0
Benton,North Albany Elementary School,FULL SCHOOL GRADES K-12,250,244,98%,244,98%,245,98%,245,98%,245,98%,244,98%,250,244,98%,242,97%,7,3%,6,2%,6,2%,5,2%,5,2%,5,2%,5,2%,6,2%,5,2%,5,2%,0,0%,0,0%,0
Benton,North Albany Middle School,FULL SCHOOL GRADES K-12,616,607,99%,609,99%,610,99%,610,99%,610,99%,609,99%,616,608,99%,605,98%,7,1%,6,1%,7,1%,6,1%,6,1%,3,0%,4,1%,6,1%,7,1%,3,0%,0,0%,2,0%,0
Benton,Oak Grove Elementary School c/o N. Albany Elementa,FULL SCHOOL GRADES K-12,277,264,95%,262,95%,264,95%,263,95%,263,95%,263,95%,277,264,95%,261,94%,16,6%,13,5%,15,5%,13,5%,14,5%,11,4%,11,4%,14,5%,13,5%,10,4%,0,0%,0,0%,0
Benton,Old Mill Center at Farm Home - K thru 2 - Marlane,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton,Philomath Elementary School,FULL SCHOOL GRADES K-12,375,361,96%,361,96%,362,97%,363,97%,363,97%,361,96%,375,360,96%,360,96%,15,4%,14,4%,14,4%,13,3%,12,3%,12,3%,12,3%,14,4%,15,4%,11,3%,0,0%,0,0%,0
Benton,Philomath High School,FULL SCHOOL GRADES K-12,482,464,96%,468,97%,471,98%,469,97%,468,97%,467,97%,249,242,97%,462,96%,19,4%,18,4%,14,3%,11,2%,14,3%,13,3%,13,3%,15,3%,6,2%,11,2%,0,0%,0,0%,2
Benton,Philomath Middle School,FULL SCHOOL GRADES K-12,360,344,96%,344,96%,346,96%,347,96%,345,96%,346,96%,360,340,94%,336,93%,22,6%,16,4%,16,4%,14,4%,15,4%,13,4%,13,4%,13,4%,19,5%,12,3%,0,0%,1,0%,2
Benton,Philomath Montessori School,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benton,Santiam Christian Schools,FULL SCHOOL GRADES K-12,526,491,93%,494,94%,499,95%,498,95%,491,93%,497,94%,363,339,93%,476,90%,45,9%,34,6%,34,6%,26,5%,35,7%,28,5%,28,5%,27,5%,23,6%,16,3%,0,0%,2,0%,0
Benton,Wilson Elementary School,FULL SCHOOL GRADES K-12,427,410,96%,410,96%,414,97%,413,97%,409,96%,409,96%,427,405,95%,402,94%,23,5%,17,4%,17,4%,13,3%,18,4%,14,3%,14,3%,17,4%,20,5%,12,3%,0,0%,0,0%,2
Benton,Zion Lutheran School,FULL SCHOOL GRADES K-12,63,62,98%,61,97%,61,97%,62,98%,62,98%,63,100%,63,62,98%,60,95%,3,5%,1,2%,2,3%,2,3%,1,2%,1,2%,0,0%,0,0%,1,2%,0,0%,0,0%,0,0%,0
Clackamas,ACADEMY FOR KIDS,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,ALDER CREEK MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,929,890,96%,897,97%,904,97%,908,98%,899,97%,900,97%,929,894,96%,879,95%,41,4%,38,4%,31,3%,24,3%,29,3%,21,2%,21,2%,25,3%,29,3%,18,2%,0,0%,2,0%,3
Clackamas,ALLIANCE CHARTER ACADEMY,FULL SCHOOL GRADES K-12,375,265,71%,283,75%,292,78%,299,80%,276,74%,281,75%,315,221,70%,251,67%,123,33%,110,29%,91,24%,83,22%,99,26%,76,20%,76,20%,93,25%,93,30%,66,18%,0,0%,0,0%,0
Clackamas,AMIGUITOS PRESCHOOL,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,ARBOR SCHOOL OF ARTS & SCIENCES,FULL SCHOOL GRADES K-12,191,183,96%,179,94%,183,96%,182,95%,182,95%,175,92%,191,179,94%,173,91%,18,9%,8,4%,12,6%,8,4%,9,5%,9,5%,9,5%,16,8%,12,6%,5,3%,0,0%,0,0%,0
Clackamas,ARDENWALD ELEMENTARY,FULL SCHOOL GRADES K-12,424,406,96%,407,96%,411,97%,414,98%,407,96%,408,96%,424,408,96%,400,94%,18,4%,14,3%,13,3%,12,3%,15,4%,9,2%,9,2%,13,3%,15,4%,7,2%,0,0%,0,0%,0
Clackamas,ARTS AND TECHNOLOGY HIGH SCHOOL,FULL SCHOOL GRADES K-12,117,110,94%,112,96%,111,95%,112,96%,111,95%,112,96%,32,31,97%,109,93%,5,4%,5,4%,4,3%,5,4%,4,3%,4,3%,4,3%,4,3%,0,0%,4,3%,1,1%,0,0%,0
Clackamas,ATHEY CREEK MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,699,678,97%,679,97%,679,97%,678,97%,676,97%,678,97%,699,674,96%,668,96%,29,4%,17,2%,20,3%,20,3%,21,3%,20,3%,20,3%,21,3%,24,3%,14,2%,0,0%,2,0%,0
Clackamas,AUNTIE PORTIES,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,BAKER PRAIRIE MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,597,583,98%,586,98%,584,98%,586,98%,586,98%,585,98%,597,585,98%,579,97%,17,3%,14,2%,11,2%,13,2%,11,2%,11,2%,11,2%,11,2%,12,2%,9,2%,0,0%,0,0%,0
Clackamas,BASIC SKILLS ASSESSMENT & EDUCATIONAL SERVICES,FULL SCHOOL GRADES K-12,36,28,78%,26,72%,28,78%,26,72%,26,72%,27,75%,29,23,79%,25,69%,11,31%,8,22%,10,28%,8,22%,10,28%,10,28%,10,28%,9,25%,10,34%,8,22%,0,0%,0,0%,0
Clackamas,BEAVERCREEK ELEMENTARY,FULL SCHOOL GRADES K-12,530,471,89%,471,89%,474,89%,473,89%,472,89%,472,89%,530,471,89%,461,87%,64,12%,57,11%,58,11%,56,11%,58,11%,55,10%,55,10%,58,11%,57,11%,50,9%,0,0%,0,0%,1
Clackamas,BILQUIST ELEMENTARY,FULL SCHOOL GRADES K-12,426,408,96%,409,96%,415,97%,415,97%,412,97%,409,96%,426,403,95%,398,93%,21,5%,17,4%,15,4%,11,3%,14,3%,11,3%,11,3%,15,4%,19,4%,10,2%,0,0%,1,0%,0
Clackamas,BOECKMAN CREEK PRIMARY,FULL SCHOOL GRADES K-12,546,506,93%,509,93%,510,93%,510,93%,510,93%,509,93%,546,497,91%,494,90%,46,8%,37,7%,36,7%,36,7%,36,7%,35,6%,36,7%,36,7%,43,8%,28,5%,0,0%,0,0%,0
Clackamas,BOLTON PRIMARY,FULL SCHOOL GRADES K-12,350,319,91%,320,91%,322,92%,319,91%,316,90%,318,91%,350,319,91%,309,88%,39,11%,30,9%,30,9%,28,8%,32,9%,31,9%,31,9%,32,9%,31,9%,20,6%,0,0%,1,0%,0
Clackamas,BOONES FERRY ELEMENTARY,FULL SCHOOL GRADES K-12,632,598,95%,599,95%,602,95%,604,96%,600,95%,601,95%,632,592,94%,587,93%,36,6%,31,5%,29,5%,30,5%,31,5%,28,4%,28,4%,29,5%,33,5%,27,4%,0,0%,1,0%,0
Clackamas,BORING MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,437,425,97%,431,99%,433,99%,432,99%,430,98%,432,99%,437,431,99%,424,97%,12,3%,11,3%,6,1%,4,1%,6,1%,4,1%,4,1%,5,1%,6,1%,4,1%,0,0%,1,0%,0
Clackamas,BUTTE CREEK SCHOOL,FULL SCHOOL GRADES K-12,298,233,78%,234,79%,237,80%,234,79%,232,78%,234,79%,298,232,78%,230,77%,66,22%,63,21%,64,21%,61,20%,66,22%,64,21%,64,21%,64,21%,66,22%,61,20%,0,0%,1,0%,0
Clackamas,CANBY HIGH SCHOOL,FULL SCHOOL GRADES K-12,"1,316","1,261",96%,"1,272",97%,"1,278",97%,"1,280",97%,"1,271",97%,"1,273",97%,678,644,95%,"1,246",95%,65,5%,54,4%,43,3%,38,3%,45,3%,36,3%,36,3%,42,3%,32,5%,35,3%,0,0%,1,0%,0
Clackamas,CANBY KEY DISTRICT PROGRAMS,FULL SCHOOL GRADES K-12,16,16,100%,16,100%,16,100%,16,100%,16,100%,16,100%,16,16,100%,16,100%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0
Clackamas,CANDY LANE ELEMENTARY,FULL SCHOOL GRADES K-12,200,187,94%,187,94%,191,96%,193,97%,187,94%,189,95%,200,188,94%,185,93%,13,7%,12,6%,12,6%,8,4%,12,6%,7,4%,7,4%,10,5%,10,5%,5,3%,0,0%,0,0%,0
Clackamas,CARUS ELEMENTARY,FULL SCHOOL GRADES K-12,460,439,95%,439,95%,440,96%,440,96%,437,95%,437,95%,460,434,94%,432,94%,24,5%,20,4%,20,4%,20,4%,22,5%,19,4%,19,4%,22,5%,23,5%,17,4%,0,0%,0,0%,0
Clackamas,CASCADE HEIGHTS PUBLIC CHARTER SCHOOL,FULL SCHOOL GRADES K-12,218,208,95%,204,94%,205,94%,210,96%,205,94%,205,94%,218,205,94%,203,93%,14,6%,10,5%,14,6%,12,6%,13,6%,8,4%,8,4%,12,6%,13,6%,8,4%,0,0%,0,0%,0
Clackamas,CASCADE SUMMIT MONTESSORI SCHOOL,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,CEDAR RIDGE MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,422,406,96%,409,97%,411,97%,413,98%,410,97%,408,97%,422,407,96%,402,95%,17,4%,15,4%,13,3%,11,3%,12,3%,9,2%,9,2%,13,3%,14,3%,8,2%,0,0%,1,0%,0
Clackamas,CEDAROAK PARK PRIMARY,FULL SCHOOL GRADES K-12,283,271,96%,271,96%,269,95%,270,95%,269,95%,269,95%,283,263,93%,263,93%,19,7%,11,4%,11,4%,14,5%,13,5%,13,5%,13,5%,14,5%,16,6%,10,4%,0,0%,0,0%,0
Clackamas,CHILDREN'S HOUR ACADEMY #1,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,CHINESE AMERICAN INTERNATIONAL SCHOOL,FULL SCHOOL GRADES K-12,Site has fewer than 10 children in the adjusted enrollment. No numbers are displayed,,,,,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clackamas,CHRIST THE KING CATHOLIC SCHOOL,FULL SCHOOL GRADES K-12,228,228,100%,228,100%,225,99%,228,100%,228,100%,228,100%,228,226,99%,225,99%,3,1%,0,0%,0,0%,3,1%,0,0%,0,0%,0,0%,0,0%,2,1%,0,0%,0,0%,0,0%,0
Clackamas,Clackamas Academy of Industrial Sciences,FULL SCHOOL GRADES K-12,174,108,62%,113,65%,113,65%,112,64%,112,64%,111,64%,114,66,58%,106,61%,60,34%,60,34%,57,33%,57,33%,58,33%,58,33%,58,33%,58,33%,44,39%,57,33%,3,2%,1,1%,0
Clackamas,Clackamas High School,FULL SCHOOL GRADES K-12,"2,484","2,383",96%,"2,434",98%,"2,446",98%,"2,445",98%,"2,431",98%,"2,445",98%,"1,296","1,250",96%,"2,362",95%,103,4%,93,4%,44,2%,35,1%,50,2%,34,1%,34,1%,37,1%,35,3%,27,1%,0,0%,4,0%,13
Clackamas,CLACKAMAS MIDDLE COLLEGE,FULL SCHOOL GRADES K-12,284,233,82%,255,90%,260,92%,261,92%,250,88%,258,91%,142,122,86%,233,82%,51,18%,51,18%,29,10%,24,8%,34,12%,23,8%,23,8%,26,9%,20,14%,22,8%,0,0%,0,0%,0
Clackamas,CLACKAMAS RIVER ELEMENTARY,FULL SCHOOL GRADES K-12,416,403,97%,402,97%,409,98%,409,98%,404,97%,404,97%,416,404,97%,399,96%,13,3%,11,3%,12,3%,7,2%,12,3%,7,2%,7,2%,12,3%,10,2%,7,2%,0,0%,0,0%,0
Clackamas,CLACKAMAS WEB ACADEMY,FULL SCHOOL GRADES K-12,431,320,74%,347,81%,356,83%,361,84%,341,79%,361,84%,276,196,71%,307,71%,83,19%,76,18%,61,14%,55,13%,64,15%,49,11%,49,11%,50,12%,57,21%,43,10%,14,3%,2,0%,2
Clackamas,CLARKES ELEMENTARY,FULL SCHOOL GRADES K-12,171,164,96%,164,96%,164,96%,163,95%,161,94%,164,96%,171,163,95%,161,94%,9,5%,7,4%,7,4%,7,4%,9,5%,8,5%,8,5%,7,4%,7,4%,7,4%,0,0%,0,0%,0
Clackamas,COLTON ELEMENTARY,FULL SCHOOL GRADES K-12,267,245,92%,247,93%,253,95%,252,94%,247,93%,256,96%,267,251,94%,243,91%,21,8%,19,7%,20,7%,14,5%,20,7%,15,6%,15,6%,11,4%,15,6%,11,4%,0,0%,0,0%,0
Clackamas,COLTON HIGH SCHOOL,FULL SCHOOL GRADES K-12,189,179,95%,182,96%,181,96%,181,96%,178,94%,179,95%,106,101,95%,174,92%,14,7%,9,5%,7,4%,8,4%,11,6%,8,4%,8,4%,10,5%,5,5%,5,3%,0,0%,1,1%,0
Clackamas,COLTON MIDDLE SCHOOL,FULL SCHOOL GRADES K-12,141,131,93%,133,94%,134,95%,134,95%,133,94%,134,95%,141,132,94%,131,93%,10,7%,10,7%,8,6%,7,5%,8,6%,7,5%,7,5%,7,5%,9,6%,7,5%,0,0%,0,0%,0
